Attributes,Close,High,Low,Open,Volume
Symbols,^SPX,^SPX,^SPX,^SPX,^SPX
Date,,,,,
2001-10-29,1078.3,1104.61,1078.3,1104.61,614500000
2001-10-26,1104.61,1110.61,1094.24,1100.09,691388889
2001-10-25,1100.09,1100.09,1065.64,1085.2,758000000
2001-10-24,1085.2,1090.26,1079.98,1084.78,742333333
2001-10-23,1084.78,1098.99,1081.53,1089.9,731833333
2001-10-22,1089.9,1090.57,1070.79,1073.48,614277778
2001-10-19,1073.48,1075.52,1057.24,1068.61,719388889
2001-10-18,1068.61,1077.94,1064.54,1077.09,701611111
2001-10-17,1077.09,1107.12,1076.57,1097.54,806777778
2001-10-16,1097.54,1101.66,1087.13,1089.98,672500000
2001-10-15,1089.98,1091.65,1078.19,1091.65,569277778
2001-10-12,1091.65,1097.43,1072.15,1097.43,739666667
2001-10-11,1097.43,1099.16,1080.99,1080.99,946988889
2001-10-10,1080.99,1081.62,1052.76,1056.75,729111111
2001-10-09,1056.75,1063.37,1053.83,1062.44,682111111
2001-10-08,1062.44,1071.37,1056.88,1071.37,543888889
2001-10-05,1071.38,1072.35,1053.5,1069.62,723166667
2001-10-04,1069.63,1084.12,1067.82,1072.28,893944444
2001-10-03,1072.28,1075.38,1041.48,1051.33,917000000
2001-10-02,1051.33,1051.33,1034.47,1038.55,716555556
2001-10-01,1038.55,1040.94,1026.76,1040.94,653111111
2001-09-28,1040.94,1040.94,1018.61,1018.61,906388889
2001-09-27,1018.61,1018.92,998.24,1007.04,815000000
2001-09-26,1007.04,1020.29,1002.62,1012.27,843944444
2001-09-25,1012.27,1017.14,998.33,1003.45,896555556
2001-09-24,1003.45,1008.44,965.8,965.8,970333333
2001-09-21,965.8,984.54,944.75,984.54,1287388889
2001-09-20,984.54,1016.1,984.49,1016.1,1113777778
2001-09-19,1016.1,1038.91,984.62,1032.74,1178083333
2001-09-18,1032.74,1046.42,1029.25,1038.77,916894444
2001-09-17,1038.77,1092.54,1037.46,1092.54,1294905556
2001-09-10,1092.54,1096.94,1073.15,1085.78,709222222
2001-09-07,1085.78,1106.4,1082.12,1106.4,791277778
2001-09-06,1106.4,1131.74,1105.83,1131.74,755388889
2001-09-05,1131.74,1135.52,1114.86,1132.94,769166667
2001-09-04,1132.94,1155.4,1129.06,1133.58,654611111
2001-08-31,1133.58,1141.83,1126.38,1129.03,511166667
2001-08-30,1129.03,1151.75,1124.87,1148.6,642777778
2001-08-29,1148.56,1166.97,1147.38,1161.51,535388889
2001-08-28,1161.51,1179.66,1161.17,1179.21,548388889
2001-08-27,1179.21,1186.85,1178.07,1184.93,468111111
2001-08-24,1184.93,1185.15,1162.09,1162.09,579777778
2001-08-23,1162.09,1169.86,1160.96,1165.31,547888889
2001-08-22,1165.31,1168.56,1153.34,1157.26,617111111
2001-08-21,1157.26,1179.85,1156.56,1171.41,578666667
2001-08-20,1171.41,1171.41,1160.94,1161.97,498388889
2001-08-17,1161.97,1181.66,1156.07,1181.66,541277778
2001-08-16,1181.66,1181.8,1166.08,1178.02,586333333
2001-08-15,1178.02,1191.21,1177.61,1186.73,592000000
