Attributes,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX
Date,,,,,,,,,,,,,,,
1987-06-17,304.81,2407.4,191.32,305.74,2427.3,192.15,304.03,2390.7,190.74,304.77,2407.4,191.14,102611111,21568944,58965517
1987-06-16,304.76,2407.4,191.14,304.86,2415.4,191.29,302.6,2376.1,188.63,303.12,2391.5,189.6,87666667,19088728,58827586
1987-06-15,303.14,2391.5,189.6,304.11,2409.4,191.05,301.62,2374.4,189.28,301.62,2377.7,190.36,87166667,18168994,53620690
1987-06-12,301.62,2377.7,190.36,302.26,2399.4,191.26,298.73,2360.7,189.66,298.77,2360.7,189.66,97277778,19612086,55586207
1987-06-11,298.73,2360.1,189.66,298.94,2380.5,190.73,297.47,2341.9,188.85,297.5,2353.6,190.02,77166667,17389294,52620690
1987-06-10,297.47,2353.6,190.02,300.81,2389.7,191.84,295.66,2328.6,189.35,297.28,2352.7,189.48,109666667,23320590,59551724
1987-06-09,297.28,2352.7,189.48,297.59,2366.1,189.62,295.9,2331.8,187.54,296.72,2351.6,187.54,91222222,16777524,48034483
1987-06-08,296.72,2351.6,187.54,297.03,2362.7,187.65,291.55,2306.9,185.01,293.46,2326.2,185.68,75777778,13747841,40344828
1987-06-05,293.45,2326.2,185.68,295.11,2346.3,186.86,292.8,2312.4,185.49,295.11,2337.1,186.26,71722222,14116020,60758621
1987-06-04,295.09,2337.1,186.26,295.09,2343.5,186.47,292.76,2308.7,185.21,293.46,2320.7,185.76,77944444,13845957,52413793
1987-06-03,293.47,2320.7,185.76,293.47,2330.1,186.4,288.56,2283.4,184.5,288.56,2283.4,184.5,91222222,18028248,48620690
1987-06-02,288.46,2278.2,184.5,290.94,2306.4,186.18,286.93,2260.6,184.44,289.82,2288.2,185.86,85222222,16732357,44896552
1987-06-01,289.83,2288.2,185.86,291.96,2319.8,189.15,289.23,2277.0,185.54,290.12,2291.6,188.77,82944444,15681541,45896552
1987-05-29,290.1,2291.6,188.77,292.87,2332.4,189.83,289.7,2281.1,188.11,290.77,2310.7,188.11,85277778,16039741,46137931
1987-05-28,290.76,2310.7,188.11,291.5,2323.6,188.21,286.33,2265.9,185.85,288.73,2295.8,185.96,85444444,15610239,45137931
1987-05-27,288.73,2295.8,185.96,290.78,2320.2,186.51,288.19,2274.3,185.07,289.07,2297.9,185.17,95222222,20162478,41896552
1987-05-26,289.11,2297.9,185.17,289.11,2305.5,185.19,282.16,2252.9,181.64,282.16,2252.9,181.64,84722222,21881256,38896552
1987-05-22,282.16,2243.2,181.64,283.33,2258.4,183.54,280.17,2220.2,181.27,280.17,2225.8,182.66,75444444,14147934,38862069
1987-05-21,280.17,2225.8,182.66,282.31,2256.1,183.57,278.21,2212.8,181.7,278.23,2215.9,181.7,91555556,20287929,47275862
1987-05-20,278.21,2215.9,181.7,280.89,2248.1,182.72,277.01,2188.5,179.74,279.62,2221.3,181.46,114888889,28502162,50206897
1987-05-19,279.62,2221.3,181.46,287.39,2280.5,185.93,278.83,2205.4,181.0,286.66,2258.7,185.46,97444444,25058214,50724138
1987-05-18,286.65,2258.7,185.46,287.43,2282.9,188.12,282.57,2227.1,183.33,287.43,2272.5,187.91,96777778,24581794,44620690
1987-05-15,287.43,2272.5,187.91,294.24,2324.5,190.74,287.11,2266.6,187.91,294.23,2324.5,190.74,100444444,28366732,50241379
1987-05-14,294.24,2325.5,190.74,295.1,2349.3,191.16,292.95,2307.2,190.21,293.98,2329.7,190.29,84444444,19041237,47758621
1987-05-13,293.98,2329.7,190.29,294.54,2346.9,190.46,290.74,2302.1,188.98,293.31,2322.6,188.98,95000000,21032997,46931034
1987-05-12,293.3,2322.6,188.98,293.3,2333.1,189.35,290.18,2289.8,187.46,291.57,2307.3,189.24,86277778,21316651,48724138
1987-05-11,291.57,2307.3,189.24,298.69,2380.8,191.7,291.55,2297.9,189.24,293.37,2322.3,190.36,113166667,34551731,47137931
1987-05-08,293.37,2322.3,190.36,296.18,2357.2,191.42,291.73,2303.1,189.52,294.73,2334.7,190.01,89944444,31259834,47206897
1987-05-07,294.71,2334.7,190.01,296.8,2368.6,190.59,294.07,2315.8,189.29,295.45,2342.2,189.29,119555556,40453293,52344828
1987-05-06,295.47,2342.2,189.29,296.19,2369.9,190.51,293.6,2309.9,188.68,295.35,2338.1,189.74,109222222,31386314,60000000
1987-05-05,295.34,2338.1,189.74,295.4,2348.0,189.99,289.34,2294.6,186.45,289.36,2294.6,186.45,106833333,24915761,50103448
1987-05-04,289.36,2286.2,186.45,289.99,2306.0,186.74,286.39,2255.3,185.01,288.02,2280.4,185.83,78111111,17166677,42137931
