Date,VZ.US
1988-04-12,5.50544
1988-04-13,5.52361
1988-04-14,5.29854
1988-04-15,5.33409
1988-04-18,5.25716
1988-04-19,5.20373
1988-04-20,5.1744
1988-04-21,5.1744
1988-04-22,5.27494
1988-04-25,5.37517
1988-04-26,5.4053
1988-04-27,5.37517
1988-04-28,5.32826
1988-04-29,5.39315
1988-05-02,5.4053
1988-05-03,5.4053
1988-05-04,5.32826
1988-05-05,5.23356
1988-05-06,5.20373
1988-05-09,5.23356
1988-05-10,5.32826
1988-05-11,5.25716
1988-05-12,5.32826
1988-05-13,5.3576
1988-05-16,5.39315
1988-05-17,5.32826
1988-05-18,5.23356
1988-05-19,5.3576
1988-05-20,5.36401
1988-05-23,5.34614
1988-05-24,5.48776
1988-05-25,5.52361
1988-05-26,5.54682
1988-05-27,5.51739
1988-05-31,5.75401
1988-06-01,5.83667
1988-06-02,5.74798
1988-06-03,5.74798
1988-06-06,5.68893
1988-06-07,5.68893
1988-06-08,5.87825
1988-06-09,5.78926
1988-06-10,5.78926
1988-06-13,5.72428
1988-06-14,5.8662
1988-06-15,5.84842
1988-06-16,5.76586
1988-06-17,5.80714
1988-06-20,5.76586
1988-06-21,5.80714
1988-06-22,5.95518
1988-06-23,5.91933
1988-06-24,5.8662
1988-06-27,5.76586
1988-06-28,5.84842
1988-06-29,5.73603
1988-06-30,5.83667
1988-07-01,5.78344
1988-07-05,5.94905
1988-07-06,5.74798
1988-07-07,5.72428
1988-07-08,5.6829
1988-07-11,5.71253
1988-07-12,5.69515
1988-07-13,5.66523
1988-07-14,5.65337
1988-07-15,5.71253
1988-07-18,5.69515
1988-07-19,5.70621
1988-07-20,5.67698
1988-07-21,5.6118
1988-07-22,5.56489
1988-07-25,5.57052
1988-07-26,5.58247
1988-07-27,5.54089
1988-07-28,5.59412
1988-07-29,5.77771
1988-08-01,5.85464
1988-08-02,5.83667
1988-08-03,5.80714
1988-08-04,5.79549
1988-08-05,5.79549
1988-08-08,5.74798
1988-08-09,5.62404
1988-08-10,5.56489
1988-08-11,5.58247
1988-08-12,5.6355
1988-08-15,5.56489
1988-08-16,5.59412
1988-08-17,5.62404
1988-08-18,5.60617
1988-08-19,5.60617
1988-08-22,5.58247
1988-08-23,5.6118
1988-08-24,5.66523
1988-08-25,5.57052
1988-08-26,5.58247
1988-08-29,5.60617
1988-08-30,5.6118
1988-08-31,5.58247
1988-09-01,5.54089
1988-09-02,5.6829
1988-09-06,5.65337
1988-09-07,5.70621
1988-09-08,5.71253
1988-09-09,5.76586
1988-09-12,5.74798
1988-09-13,5.74798
1988-09-14,5.77771
1988-09-15,5.73603
1988-09-16,5.83667
1988-09-19,5.75401
1988-09-20,5.81899
1988-09-21,5.79549
1988-09-22,5.76586
1988-09-23,5.81899
1988-09-26,5.79549
1988-09-27,5.83074
1988-09-28,5.80714
1988-09-29,5.9134
1988-09-30,5.93138
1988-10-03,5.94323
1988-10-04,5.87825
1988-10-05,5.87825
1988-10-06,5.89
1988-10-07,6.06746
1988-10-10,6.03181
1988-10-11,6.00228
1988-10-12,5.94323
1988-10-13,5.93138
1988-10-14,5.95518
1988-10-17,5.95518
1988-10-18,5.98461
1988-10-19,5.93138
1988-10-20,6.04376
1988-10-21,6.08504
1988-10-24,6.07349
1988-10-25,6.08504
1988-10-26,6.04376
1988-10-27,5.961
1988-10-28,6.00228
1988-10-31,6.06746
1988-11-01,6.05561
1988-11-02,6.01414
1988-11-03,5.98461
1988-11-04,5.961
1988-11-07,5.9134
1988-11-08,5.91933
1988-11-09,5.87825
1988-11-10,5.9134
1988-11-11,5.84842
1988-11-14,5.81899
1988-11-15,5.83074
1988-11-16,5.75401
1988-11-17,5.76586
1988-11-18,5.80714
1988-11-21,5.79549
1988-11-22,5.78926
1988-11-23,5.80714
1988-11-25,5.76586
1988-11-28,5.75401
1988-11-29,5.78926
1988-11-30,5.83074
1988-12-01,5.81899
1988-12-02,5.80714
1988-12-05,5.90165
1988-12-06,5.97285
1988-12-07,5.98461
1988-12-08,5.98461
1988-12-09,6.01414
1988-12-12,6.01414
1988-12-13,6.08504
1988-12-14,5.99636
1988-12-15,5.97285
1988-12-16,6.04376
1988-12-19,6.05561
1988-12-20,5.98461
1988-12-21,5.97285
1988-12-22,5.9134
1988-12-23,5.95518
1988-12-27,5.90165
1988-12-28,5.90165
1988-12-29,5.95518
1988-12-30,5.94323
1989-01-03,5.83667
1989-01-04,5.88387
1989-01-05,5.86037
1989-01-06,5.89
1989-01-09,5.92525
1989-01-10,5.89
1989-01-11,5.90165
1989-01-12,5.87212
1989-01-13,5.84842
1989-01-16,5.88387
1989-01-17,5.89
1989-01-18,6.01996
1989-01-19,6.01996
1989-01-20,6.00841
1989-01-23,5.97285
1989-01-24,6.07902
1989-01-25,6.10904
1989-01-26,6.15032
1989-01-27,6.29787
1989-01-30,6.22676
1989-01-31,6.26834
1989-02-01,6.28611
1989-02-02,6.24473
1989-02-03,6.17373
1989-02-06,6.1206
1989-02-07,6.26834
1989-02-08,6.23901
1989-02-09,6.23901
1989-02-10,6.22676
1989-02-13,6.29787
1989-02-14,6.30991
1989-02-15,6.30991
1989-02-16,6.28611
1989-02-17,6.28611
1989-02-21,6.22676
1989-02-22,6.13225
1989-02-23,6.21511
1989-02-24,6.09107
1989-02-27,6.09107
1989-02-28,6.10904
1989-03-01,6.06746
1989-03-02,6.10292
1989-03-03,6.10292
1989-03-06,6.17373
1989-03-07,6.19723
1989-03-08,6.20355
1989-03-09,6.24473
1989-03-10,6.23901
1989-03-13,6.25678
1989-03-14,6.22676
1989-03-15,6.22676
1989-03-16,6.32157
1989-03-17,6.24473
1989-03-20,6.22676
1989-03-21,6.25678
1989-03-22,6.28611
1989-03-23,6.25678
1989-03-27,6.29787
1989-03-28,6.3512
1989-03-29,6.33332
1989-03-30,6.33934
1989-03-31,6.37509
1989-04-03,6.422
1989-04-04,6.38092
1989-04-05,6.45183
1989-04-06,6.40996
1989-04-07,6.446
1989-04-10,6.446
1989-04-11,6.422
1989-04-12,6.422
1989-04-13,6.39257
1989-04-14,6.51681
1989-04-17,6.55236
1989-04-18,6.74129
1989-04-19,6.71749
1989-04-20,6.6766
1989-04-21,6.72934
1989-04-24,6.76035
1989-04-25,6.80676
1989-04-26,6.86572
1989-04-27,6.9711
1989-04-28,7.06699
1989-05-01,7.01435
1989-05-02,7.02433
1989-05-03,6.98393
1989-05-04,6.86572
1989-05-05,6.91234
1989-05-08,6.90048
1989-05-09,6.89021
1989-05-10,6.89021
1989-05-11,6.91234
1989-05-12,7.12032
1989-05-15,7.08941
1989-05-16,7.06699
1989-05-17,7.13316
1989-05-18,7.17325
1989-05-19,7.38657
1989-05-22,7.42706
1989-05-23,7.33314
1989-05-24,7.33314
1989-05-25,7.31566
1989-05-26,7.42706
1989-05-30,7.33314
1989-05-31,7.36869
1989-06-01,7.37422
1989-06-02,7.53401
1989-06-05,7.49204
1989-06-06,7.57569
1989-06-07,7.76995
1989-06-08,7.72313
1989-06-09,7.64038
1989-06-12,7.5987
1989-06-13,7.42706
1989-06-14,7.39733
1989-06-15,7.30391
1989-06-16,7.37422
1989-06-19,7.42094
1989-06-20,7.40958
1989-06-21,7.35655
1989-06-22,7.46241
1989-06-23,7.71652
1989-06-26,7.62902
1989-06-27,7.62902
1989-06-28,7.50409
1989-06-29,7.4398
1989-06-30,7.42094
1989-07-03,7.48078
1989-07-05,7.53401
1989-07-06,7.52137
1989-07-07,7.66437
1989-07-10,7.6938
1989-07-11,7.76995
1989-07-12,7.76995
1989-07-13,7.79533
1989-07-14,7.76995
1989-07-17,7.74822
1989-07-18,7.74822
1989-07-19,7.87552
1989-07-20,7.86011
1989-07-21,7.83384
1989-07-24,7.75859
1989-07-25,7.83384
1989-07-26,7.91255
1989-07-27,8.03787
1989-07-28,8.0595
1989-07-31,8.23183
1989-08-01,8.37484
1989-08-02,8.29672
1989-08-03,8.29672
1989-08-04,8.25603
1989-08-07,8.41523
1989-08-08,8.45582
1989-08-09,8.32674
1989-08-10,8.28388
1989-08-11,8.19204
1989-08-14,8.12656
1989-08-15,8.23183
1989-08-16,8.27242
1989-08-17,8.25603
1989-08-18,8.32674
