Date,PFE.US
1989-05-26,1.30308
1989-05-30,1.29629
1989-05-31,1.29629
1989-06-01,1.29629
1989-06-02,1.32267
1989-06-05,1.29629
1989-06-06,1.30308
1989-06-07,1.30308
1989-06-08,1.29629
1989-06-09,1.30308
1989-06-12,1.29629
1989-06-13,1.23074
1989-06-14,1.23074
1989-06-15,1.22404
1989-06-16,1.21754
1989-06-19,1.21754
1989-06-20,1.23723
1989-06-21,1.21076
1989-06-22,1.21754
1989-06-23,1.25042
1989-06-26,1.23723
1989-06-27,1.23723
1989-06-28,1.24373
1989-06-29,1.21754
1989-06-30,1.21754
1989-07-03,1.22404
1989-07-05,1.23723
1989-07-06,1.23723
1989-07-07,1.25042
1989-07-10,1.25042
1989-07-11,1.25042
1989-07-12,1.24373
1989-07-13,1.24373
1989-07-14,1.25042
1989-07-17,1.25042
1989-07-18,1.24373
1989-07-19,1.27651
1989-07-20,1.26352
1989-07-21,1.25692
1989-07-24,1.26352
1989-07-25,1.28339
1989-07-26,1.30968
1989-07-27,1.36883
1989-07-28,1.3951
1989-07-31,1.3951
1989-08-01,1.36883
1989-08-02,1.36883
1989-08-03,1.36883
1989-08-04,1.36883
1989-08-07,1.38842
1989-08-08,1.38231
1989-08-09,1.37562
1989-08-10,1.38231
1989-08-11,1.38842
1989-08-14,1.38842
1989-08-15,1.3951
1989-08-16,1.42129
1989-08-17,1.42129
1989-08-18,1.44787
1989-08-21,1.42808
1989-08-22,1.42129
1989-08-23,1.42808
1989-08-24,1.48724
1989-08-25,1.46095
1989-08-28,1.46095
1989-08-29,1.44128
1989-08-30,1.46765
1989-08-31,1.48724
1989-09-01,1.49393
1989-09-05,1.48044
1989-09-06,1.46765
1989-09-07,1.48724
1989-09-08,1.50033
1989-09-11,1.47395
1989-09-12,1.48044
1989-09-13,1.46765
1989-09-14,1.43448
1989-09-15,1.44787
1989-09-18,1.45417
1989-09-19,1.46095
1989-09-20,1.45417
1989-09-21,1.45417
1989-09-22,1.44128
1989-09-25,1.44128
1989-09-26,1.42129
1989-09-27,1.44128
1989-09-28,1.46765
1989-09-29,1.46765
1989-10-02,1.45417
1989-10-03,1.48044
1989-10-04,1.48044
1989-10-05,1.47395
1989-10-06,1.48044
1989-10-09,1.48044
1989-10-10,1.46765
1989-10-11,1.48044
1989-10-12,1.46765
1989-10-13,1.41509
1989-10-16,1.41509
1989-10-17,1.43448
1989-10-18,1.45417
1989-10-19,1.45417
1989-10-20,1.45417
1989-10-23,1.46095
1989-10-24,1.44787
1989-10-25,1.45417
1989-10-26,1.43448
1989-10-27,1.42129
1989-10-30,1.4081
1989-10-31,1.44787
1989-11-01,1.45417
1989-11-02,1.45417
1989-11-03,1.45417
1989-11-06,1.44128
1989-11-07,1.45417
1989-11-08,1.49393
1989-11-09,1.50033
1989-11-10,1.51371
1989-11-13,1.52031
1989-11-14,1.50033
1989-11-15,1.51371
1989-11-16,1.50683
1989-11-17,1.52031
1989-11-20,1.52031
1989-11-21,1.53989
1989-11-22,1.57927
1989-11-24,1.57927
1989-11-27,1.61214
1989-11-28,1.61214
1989-11-29,1.58586
1989-11-30,1.59905
1989-12-01,1.59905
1989-12-04,1.60574
1989-12-05,1.60574
1989-12-06,1.61214
1989-12-07,1.58586
1989-12-08,1.49393
1989-12-11,1.46095
1989-12-12,1.48044
1989-12-13,1.49393
1989-12-14,1.47395
1989-12-15,1.44128
1989-12-18,1.43448
1989-12-19,1.42808
1989-12-20,1.41509
1989-12-21,1.44787
1989-12-22,1.46095
1989-12-26,1.44128
1989-12-27,1.48044
1989-12-28,1.50683
1989-12-29,1.50033
1990-01-02,1.5336
1990-01-03,1.53989
1990-01-04,1.56618
1990-01-05,1.54679
1990-01-08,1.5336
1990-01-09,1.50683
1990-01-10,1.5336
1990-01-11,1.51371
1990-01-12,1.48724
1990-01-15,1.48724
1990-01-16,1.50033
1990-01-17,1.50033
1990-01-18,1.5268
1990-01-19,1.52031
1990-01-22,1.50033
1990-01-23,1.48044
1990-01-24,1.49393
1990-01-25,1.47395
1990-01-26,1.46095
1990-01-29,1.48044
1990-01-30,1.46095
1990-01-31,1.48044
1990-02-01,1.48724
1990-02-02,1.50033
1990-02-05,1.50683
1990-02-06,1.48724
1990-02-07,1.47395
1990-02-08,1.48724
1990-02-09,1.46095
1990-02-12,1.46765
1990-02-13,1.47395
1990-02-14,1.48044
1990-02-15,1.48724
1990-02-16,1.44787
1990-02-20,1.41509
1990-02-21,1.38842
1990-02-22,1.28999
1990-02-23,1.22404
1990-02-26,1.21754
1990-02-27,1.28999
1990-02-28,1.28339
1990-03-01,1.30308
1990-03-02,1.34265
1990-03-05,1.29629
1990-03-06,1.32936
1990-03-07,1.32267
1990-03-08,1.33566
1990-03-09,1.30968
1990-03-12,1.32936
1990-03-13,1.28999
1990-03-14,1.28339
1990-03-15,1.29629
1990-03-16,1.27651
1990-03-19,1.30968
1990-03-20,1.31617
1990-03-21,1.29629
1990-03-22,1.2701
1990-03-23,1.28339
1990-03-26,1.28339
1990-03-27,1.30968
1990-03-28,1.33566
1990-03-29,1.34265
1990-03-30,1.32267
1990-04-02,1.28339
1990-04-03,1.2701
1990-04-04,1.24373
1990-04-05,1.23074
1990-04-06,1.25042
1990-04-09,1.2701
1990-04-10,1.25692
1990-04-11,1.26352
1990-04-12,1.28339
1990-04-16,1.28999
1990-04-17,1.28339
1990-04-18,1.28339
1990-04-19,1.28999
1990-04-20,1.2701
1990-04-23,1.23723
1990-04-24,1.24373
1990-04-25,1.25042
1990-04-26,1.27651
1990-04-27,1.25692
1990-04-30,1.23723
1990-05-01,1.23723
1990-05-02,1.25042
1990-05-03,1.26352
1990-05-04,1.24373
