Date,MRK.US
1988-06-03,4.70628
1988-06-06,4.72632
1988-06-07,4.66572
1988-06-08,4.77403
1988-06-09,4.79426
1988-06-10,4.76054
1988-06-13,4.69964
1988-06-14,4.79426
1988-06-15,4.83453
1988-06-16,4.74001
1988-06-17,4.69964
1988-06-20,4.63169
1988-06-21,4.66572
1988-06-22,4.74001
1988-06-23,4.71987
1988-06-24,4.71987
1988-06-27,4.63169
1988-06-28,4.69964
1988-06-29,4.67236
1988-06-30,4.80091
1988-07-01,4.71987
1988-07-05,4.79426
1988-07-06,4.69964
1988-07-07,4.68595
1988-07-08,4.64518
1988-07-11,4.66572
1988-07-12,4.64518
1988-07-13,4.64518
1988-07-14,4.66572
1988-07-15,4.67236
1988-07-18,4.67236
1988-07-19,4.66572
1988-07-20,4.71987
1988-07-21,4.65213
1988-07-22,4.59113
1988-07-25,4.63169
1988-07-26,4.62485
1988-07-27,4.59113
1988-07-28,4.66572
1988-07-29,4.77403
1988-08-01,4.84822
1988-08-02,4.88889
1988-08-03,4.92975
1988-08-04,4.90942
1988-08-05,4.84822
1988-08-08,4.78067
1988-08-09,4.70628
1988-08-10,4.59113
1988-08-11,4.64518
1988-08-12,4.64518
1988-08-15,4.61116
1988-08-16,4.67236
1988-08-17,4.70628
1988-08-18,4.77403
1988-08-19,4.78067
1988-08-22,4.69964
1988-08-23,4.65213
1988-08-24,4.74665
1988-08-25,4.69964
1988-08-26,4.72632
1988-08-29,4.79426
1988-08-30,4.78742
1988-08-31,4.71293
1988-09-01,4.65867
1988-09-02,4.76699
1988-09-06,4.84158
1988-09-07,4.88244
1988-09-08,4.88244
1988-09-09,4.95693
1988-09-12,4.95693
1988-09-13,4.95693
1988-09-14,5.02448
1988-09-15,4.99056
1988-09-16,5.03122
1988-09-19,4.95693
1988-09-20,4.95693
1988-09-21,5.02448
1988-09-22,4.9364
1988-09-23,4.92301
1988-09-26,4.90248
1988-09-27,4.91626
1988-09-28,4.94979
1988-09-29,5.03122
1988-09-30,4.95693
1988-10-03,4.91626
1988-10-04,4.9364
1988-10-05,4.94979
1988-10-06,5.00415
1988-10-07,5.10532
1988-10-10,5.09927
1988-10-11,5.07854
1988-10-12,4.94979
1988-10-13,5.01109
1988-10-14,5.04481
1988-10-17,5.00415
1988-10-18,4.97727
1988-10-19,4.95693
1988-10-20,4.97012
1988-10-21,4.97727
1988-10-24,4.97727
1988-10-25,4.97727
1988-10-26,4.97012
1988-10-27,4.92301
1988-10-28,4.90248
1988-10-31,4.91626
1988-11-01,4.91626
1988-11-02,5.06485
1988-11-03,5.05156
1988-11-04,4.97727
1988-11-07,4.9364
1988-11-08,4.94979
1988-11-09,4.92301
1988-11-10,4.90248
1988-11-11,4.80765
1988-11-14,4.7537
1988-11-15,4.73326
1988-11-16,4.60452
1988-11-17,4.71293
1988-11-18,4.79426
1988-11-21,4.78742
1988-11-22,4.76699
1988-11-23,4.78742
1988-11-25,4.71293
1988-11-28,4.73326
1988-11-29,4.80765
1988-11-30,4.88244
1988-12-01,4.89593
1988-12-02,4.90248
1988-12-05,4.9364
1988-12-06,5.01109
1988-12-07,5.00415
1988-12-08,4.94979
1988-12-09,5.00415
1988-12-12,4.9364
1988-12-13,4.97012
1988-12-14,4.97012
1988-12-15,4.91626
1988-12-16,4.98351
1988-12-19,5.01109
1988-12-20,4.99056
1988-12-21,4.94979
1988-12-22,4.92975
1988-12-23,4.92975
1988-12-27,4.88244
1988-12-28,4.89593
1988-12-29,4.95693
1988-12-30,4.99056
1989-01-03,4.94979
1989-01-04,4.95693
1989-01-05,5.02448
1989-01-06,5.03787
1989-01-09,5.01109
1989-01-10,4.99056
1989-01-11,5.11246
1989-01-12,5.17316
1989-01-13,5.22077
1989-01-16,5.24091
1989-01-17,5.1936
1989-01-18,5.24805
1989-01-19,5.26134
1989-01-20,5.22077
1989-01-23,5.24091
1989-01-24,5.34972
1989-01-25,5.42421
1989-01-26,5.498
1989-01-27,5.57279
1989-01-30,5.51189
1989-01-31,5.64044
1989-02-01,5.56625
1989-02-02,5.59322
1989-02-03,5.64044
1989-02-06,5.60671
1989-02-07,5.6204
1989-02-08,5.54552
1989-02-09,5.47807
1989-02-10,5.39009
1989-02-13,5.38344
1989-02-14,5.41032
1989-02-15,5.51189
1989-02-16,5.59322
1989-02-17,5.6204
1989-02-21,5.60671
1989-02-22,5.46468
1989-02-23,5.49166
1989-02-24,5.39009
1989-02-27,5.40358
1989-02-28,5.51873
1989-03-01,5.51189
1989-03-02,5.61356
1989-03-03,5.54552
1989-03-06,5.5593
1989-03-07,5.53203
1989-03-08,5.6204
1989-03-09,5.61356
1989-03-10,5.57993
1989-03-13,5.70838
1989-03-14,5.76264
1989-03-15,5.72197
1989-03-16,5.74875
1989-03-17,5.61356
1989-03-20,5.53203
1989-03-21,5.56625
1989-03-22,5.6204
1989-03-23,5.56625
1989-03-27,5.59997
1989-03-28,5.64044
1989-03-29,5.67436
1989-03-30,5.66791
1989-03-31,5.65393
1989-04-03,5.66791
1989-04-04,5.72197
1989-04-05,5.72197
1989-04-06,5.72881
1989-04-07,5.67436
1989-04-10,5.66791
1989-04-11,5.74221
1989-04-12,5.77603
1989-04-13,5.72197
1989-04-14,5.85052
1989-04-17,5.83019
1989-04-18,5.87055
1989-04-19,5.87055
1989-04-20,5.83019
1989-04-21,5.97946
1989-04-24,5.89109
1989-04-25,5.89109
1989-04-26,5.89109
1989-04-27,5.9386
1989-04-28,5.9386
1989-05-01,5.86401
1989-05-02,5.88434
1989-05-03,5.83693
1989-05-04,5.86401
1989-05-05,5.88434
1989-05-08,5.85052
1989-05-09,5.88434
1989-05-10,5.91826
1989-05-11,5.94544
1989-05-12,6.1214
1989-05-15,6.15532
1989-05-16,6.14174
1989-05-17,6.22287
1989-05-18,6.19589
1989-05-19,6.29736
1989-05-22,6.2434
1989-05-23,6.08738
1989-05-24,5.99285
1989-05-25,6.08073
1989-05-26,6.13489
1989-05-30,6.01309
1989-05-31,6.06715
1989-06-01,6.11466
1989-06-02,6.29736
1989-06-05,6.20254
1989-06-06,6.27038
1989-06-07,6.29062
1989-06-08,6.23646
1989-06-09,6.23646
1989-06-12,6.20254
1989-06-13,6.01309
1989-06-14,5.97222
1989-06-15,5.95248
1989-06-16,6.01309
1989-06-19,5.95248
1989-06-20,5.89813
1989-06-21,5.86401
1989-06-22,5.91826
1989-06-23,6.11466
1989-06-26,6.0604
1989-06-27,6.11466
1989-06-28,6.06715
1989-06-29,5.9386
1989-06-30,5.85052
1989-07-03,5.92481
1989-07-05,5.95248
1989-07-06,6.00615
1989-07-07,6.18201
1989-07-10,6.15532
1989-07-11,6.27693
1989-07-12,6.29736
1989-07-13,6.29062
1989-07-14,6.29062
1989-07-17,6.33119
1989-07-18,6.3654
1989-07-19,6.47342
1989-07-20,6.47342
1989-07-21,6.57499
1989-07-24,6.48681
1989-07-25,6.45289
1989-07-26,6.61586
1989-07-27,6.81215
1989-07-28,6.66991
1989-07-31,6.64948
1989-08-01,6.55446
1989-08-02,6.58183
1989-08-03,6.52054
1989-08-04,6.43275
1989-08-07,6.5617
1989-08-08,6.52817
1989-08-09,6.45289
1989-08-10,6.47342
