Date,MMM.US
1990-03-14,10.7176
1990-03-15,10.7078
1990-03-16,10.94
1990-03-19,10.9156
1990-03-20,11.1164
1990-03-21,11.0674
1990-03-22,10.9018
1990-03-23,10.94
1990-03-26,11.0008
1990-03-27,11.1164
1990-03-28,10.9802
1990-03-29,10.8234
1990-03-30,10.6941
1990-04-02,10.7078
1990-04-03,10.7999
1990-04-04,10.7078
1990-04-05,10.7333
1990-04-06,10.7862
1990-04-09,10.7578
1990-04-10,10.8234
1990-04-11,10.7999
1990-04-12,10.9156
1990-04-16,10.94
1990-04-17,10.94
1990-04-18,10.8372
1990-04-19,10.7862
1990-04-20,10.7578
1990-04-23,10.5765
1990-04-24,10.4236
1990-04-25,10.4736
1990-04-26,10.4403
1990-04-27,10.3099
1990-04-30,10.4236
1990-05-01,10.4089
1990-05-02,10.3756
1990-05-03,10.3756
1990-05-04,10.3599
1990-05-07,10.5108
