Date,JNJ.US
1989-08-10,3.78438
1989-08-11,3.76242
1989-08-14,3.79899
1989-08-15,3.79134
1989-08-16,3.74831
1989-08-17,3.78438
1989-08-18,3.79899
1989-08-21,3.63345
1989-08-22,3.67657
1989-08-23,3.69804
1989-08-24,3.73401
1989-08-25,3.7199
1989-08-28,3.77017
1989-08-29,3.73401
1989-08-30,3.77713
1989-08-31,3.84907
1989-09-01,3.93531
1989-09-05,3.9063
1989-09-06,3.87748
1989-09-07,3.83486
1989-09-08,3.82025
1989-09-11,3.77017
1989-09-12,3.74831
1989-09-13,3.7199
1989-09-14,3.7199
1989-09-15,3.7199
1989-09-18,3.86327
1989-09-19,3.84191
1989-09-20,3.87748
1989-09-21,3.83486
1989-09-22,3.83486
1989-09-25,3.84191
1989-09-26,3.84191
1989-09-27,3.89914
1989-09-28,3.97108
1989-09-29,4.02861
1989-10-02,4.02861
1989-10-03,4.04302
1989-10-04,4.10015
1989-10-05,4.07164
1989-10-06,4.11476
1989-10-09,4.13622
1989-10-10,4.13622
1989-10-11,4.1077
1989-10-12,4.05017
1989-10-13,3.7199
1989-10-16,3.99264
1989-10-17,4.02861
1989-10-18,4.00705
1989-10-19,4.04302
1989-10-20,4.07164
1989-10-23,4.04302
1989-10-24,4.0142
1989-10-25,4.00705
1989-10-26,3.99264
1989-10-27,3.93531
1989-10-30,3.94962
1989-10-31,4.07164
1989-11-01,4.0931
1989-11-02,4.02861
1989-11-03,3.9998
1989-11-06,3.92796
1989-11-07,3.97804
1989-11-08,4.06408
1989-11-09,4.04302
1989-11-10,4.11476
1989-11-13,4.11476
1989-11-14,4.07164
1989-11-15,4.15073
1989-11-16,4.0931
1989-11-17,4.08584
1989-11-20,4.06408
1989-11-21,4.08584
1989-11-22,4.16523
1989-11-24,4.19365
1989-11-27,4.16523
1989-11-28,4.15073
1989-11-29,4.12917
1989-11-30,4.17944
1989-12-01,4.24383
1989-12-04,4.28695
1989-12-05,4.25098
1989-12-06,4.2799
1989-12-07,4.2799
1989-12-08,4.2944
1989-12-11,4.30891
1989-12-12,4.28695
1989-12-13,4.32292
1989-12-14,4.28695
1989-12-15,4.24383
1989-12-18,4.15073
1989-12-19,4.15073
1989-12-20,4.16523
1989-12-21,4.1865
1989-12-22,4.20091
1989-12-26,4.21531
1989-12-27,4.32292
1989-12-28,4.3732
1989-12-29,4.3877
1990-01-02,4.42348
1990-01-03,4.44543
1990-01-04,4.45189
1990-01-05,4.40917
1990-01-08,4.4811
1990-01-09,4.34438
1990-01-10,4.2799
1990-01-11,4.33723
1990-01-12,4.20786
1990-01-15,4.1865
1990-01-16,4.1865
1990-01-17,4.15073
1990-01-18,4.1865
1990-01-19,4.24383
1990-01-22,4.0931
1990-01-23,4.08584
1990-01-24,4.00705
1990-01-25,3.921
1990-01-26,3.9063
1990-01-29,3.9063
1990-01-30,3.84191
1990-01-31,3.87073
1990-02-01,3.94247
1990-02-02,4.03557
1990-02-05,4.00705
1990-02-06,3.99264
1990-02-07,4.05017
1990-02-08,4.12211
1990-02-09,4.15073
1990-02-12,4.12211
1990-02-13,4.08584
1990-02-14,4.12211
1990-02-15,4.1865
1990-02-16,4.12211
1990-02-20,4.05017
1990-02-21,3.99264
1990-02-22,3.94962
1990-02-23,3.87073
1990-02-26,3.96383
1990-02-27,3.96383
1990-02-28,3.98569
1990-03-01,4.0142
1990-03-02,4.08584
1990-03-05,4.02136
1990-03-06,4.1077
1990-03-07,4.1077
1990-03-08,4.15073
1990-03-09,4.13622
1990-03-12,4.11476
1990-03-13,4.04302
1990-03-14,4.0931
1990-03-15,4.22227
1990-03-16,4.25098
1990-03-19,4.23687
1990-03-20,4.1865
1990-03-21,4.15073
1990-03-22,4.07879
1990-03-23,4.14367
1990-03-26,4.15073
1990-03-27,4.24383
1990-03-28,4.24383
1990-03-29,4.20786
1990-03-30,4.17209
1990-04-02,4.17209
1990-04-03,4.2799
1990-04-04,4.21531
1990-04-05,4.24383
1990-04-06,4.24383
1990-04-09,4.31577
1990-04-10,4.31577
1990-04-11,4.33027
1990-04-12,4.35879
1990-04-16,4.33723
1990-04-17,4.39456
1990-04-18,4.35879
1990-04-19,4.31577
1990-04-20,4.33027
1990-04-23,4.24383
1990-04-24,4.20786
1990-04-25,4.20091
1990-04-26,4.24383
1990-04-27,4.1865
1990-04-30,4.20786
1990-05-01,4.25098
1990-05-02,4.33027
1990-05-03,4.30891
1990-05-04,4.3877
1990-05-07,4.40917
