Date,MSFT.US
1988-01-28,0.276486
1988-01-29,0.276486
1988-02-01,0.268415
1988-02-02,0.276486
1988-02-03,0.260583
1988-02-04,0.252681
1988-02-05,0.252681
1988-02-08,0.252681
1988-02-09,0.260583
1988-02-10,0.260583
1988-02-11,0.268415
1988-02-12,0.268415
1988-02-16,0.284298
1988-02-17,0.284298
1988-02-18,0.284298
1988-02-19,0.292219
1988-02-22,0.292219
1988-02-23,0.292219
1988-02-24,0.292219
1988-02-25,0.284298
1988-02-26,0.284298
1988-02-29,0.292219
1988-03-01,0.292219
1988-03-02,0.292219
1988-03-03,0.300021
1988-03-04,0.300021
1988-03-07,0.307853
1988-03-08,0.315904
1988-03-09,0.315904
1988-03-10,0.307853
1988-03-11,0.307853
1988-03-14,0.315904
1988-03-15,0.307853
1988-03-16,0.315904
1988-03-17,0.315904
1988-03-18,0.284298
1988-03-21,0.292219
1988-03-22,0.300021
1988-03-23,0.292219
1988-03-24,0.276486
1988-03-25,0.276486
1988-03-28,0.276486
1988-03-29,0.276486
1988-03-30,0.268415
1988-03-31,0.276486
1988-04-04,0.268415
1988-04-05,0.276486
1988-04-06,0.284298
1988-04-07,0.284298
1988-04-08,0.284298
1988-04-11,0.284298
1988-04-12,0.276486
1988-04-13,0.284298
1988-04-14,0.260583
1988-04-15,0.268415
1988-04-18,0.268415
1988-04-19,0.268415
1988-04-20,0.268415
1988-04-21,0.268415
1988-04-22,0.268415
1988-04-25,0.268415
1988-04-26,0.276486
1988-04-27,0.276486
1988-04-28,0.276486
1988-04-29,0.268415
1988-05-02,0.268415
1988-05-03,0.276486
1988-05-04,0.284298
1988-05-05,0.284298
1988-05-06,0.284298
1988-05-09,0.284298
1988-05-10,0.284298
1988-05-11,0.276486
1988-05-12,0.276486
1988-05-13,0.276486
1988-05-16,0.284298
1988-05-17,0.284298
1988-05-18,0.276486
1988-05-19,0.284298
1988-05-20,0.276486
1988-05-23,0.268415
1988-05-24,0.276486
1988-05-25,0.276486
1988-05-26,0.276486
1988-05-27,0.276486
1988-05-31,0.284298
1988-06-01,0.292219
1988-06-02,0.292219
1988-06-03,0.292219
1988-06-06,0.300021
1988-06-07,0.300021
1988-06-08,0.307853
1988-06-09,0.300021
1988-06-10,0.307853
1988-06-13,0.307853
1988-06-14,0.307853
1988-06-15,0.315904
1988-06-16,0.315904
1988-06-17,0.307853
1988-06-20,0.307853
1988-06-21,0.315904
1988-06-22,0.331608
1988-06-23,0.323776
1988-06-24,0.323776
1988-06-27,0.315904
1988-06-28,0.323776
1988-06-29,0.323776
1988-06-30,0.331608
1988-07-01,0.331608
1988-07-05,0.339519
1988-07-06,0.339519
1988-07-07,0.339519
1988-07-08,0.339519
1988-07-11,0.331608
1988-07-12,0.323776
1988-07-13,0.331608
1988-07-14,0.331608
1988-07-15,0.331608
1988-07-18,0.331608
1988-07-19,0.323776
1988-07-20,0.315904
1988-07-21,0.300021
1988-07-22,0.300021
1988-07-25,0.300021
1988-07-26,0.284298
1988-07-27,0.284298
1988-07-28,0.284298
1988-07-29,0.292219
1988-08-01,0.284298
1988-08-02,0.284298
1988-08-03,0.276486
1988-08-04,0.276486
1988-08-05,0.260583
1988-08-08,0.260583
1988-08-09,0.252681
1988-08-10,0.24487
1988-08-11,0.252681
1988-08-12,0.252681
1988-08-15,0.252681
1988-08-16,0.260583
1988-08-17,0.260583
1988-08-18,0.260583
1988-08-19,0.24487
1988-08-22,0.236928
1988-08-23,0.24487
1988-08-24,0.252681
1988-08-25,0.252681
1988-08-26,0.252681
1988-08-29,0.252681
1988-08-30,0.252681
1988-08-31,0.24487
1988-09-01,0.236928
1988-09-02,0.252681
1988-09-06,0.252681
1988-09-07,0.252681
1988-09-08,0.252681
1988-09-09,0.268415
1988-09-12,0.260583
1988-09-13,0.268415
1988-09-14,0.268415
1988-09-15,0.260583
1988-09-16,0.252681
1988-09-19,0.252681
1988-09-20,0.260583
1988-09-21,0.260583
1988-09-22,0.268415
1988-09-23,0.260583
1988-09-26,0.260583
1988-09-27,0.252681
1988-09-28,0.260583
1988-09-29,0.260583
1988-09-30,0.260583
1988-10-03,0.252681
1988-10-04,0.252681
1988-10-05,0.24487
1988-10-06,0.24487
1988-10-07,0.24487
1988-10-10,0.24487
1988-10-11,0.24487
1988-10-12,0.252681
1988-10-13,0.252681
1988-10-14,0.252681
1988-10-17,0.252681
1988-10-18,0.260583
1988-10-19,0.260583
1988-10-20,0.260583
1988-10-21,0.260583
1988-10-24,0.252681
1988-10-25,0.24487
1988-10-26,0.24487
1988-10-27,0.24487
1988-10-28,0.24487
1988-10-31,0.24487
1988-11-01,0.236928
1988-11-02,0.229037
1988-11-03,0.229037
1988-11-04,0.229037
1988-11-07,0.229037
1988-11-08,0.236928
1988-11-09,0.24487
1988-11-10,0.24487
1988-11-11,0.236928
1988-11-14,0.236928
1988-11-15,0.229037
1988-11-16,0.229037
1988-11-17,0.229037
1988-11-18,0.229037
1988-11-21,0.229037
1988-11-22,0.229037
1988-11-23,0.229037
1988-11-25,0.229037
1988-11-28,0.229037
1988-11-29,0.236928
1988-11-30,0.229037
1988-12-01,0.24487
1988-12-02,0.24487
1988-12-05,0.24487
1988-12-06,0.24487
1988-12-07,0.24487
1988-12-08,0.24487
1988-12-09,0.24487
1988-12-12,0.236928
1988-12-13,0.236928
1988-12-14,0.236928
1988-12-15,0.24487
1988-12-16,0.24487
1988-12-19,0.252681
1988-12-20,0.252681
1988-12-21,0.260583
1988-12-22,0.252681
1988-12-23,0.252681
1988-12-27,0.252681
1988-12-28,0.260583
1988-12-29,0.260583
1988-12-30,0.260583
1989-01-03,0.260583
1989-01-04,0.268415
1989-01-05,0.260583
1989-01-06,0.260583
1989-01-09,0.260583
1989-01-10,0.252681
1989-01-11,0.260583
1989-01-12,0.260583
1989-01-13,0.260583
1989-01-16,0.260583
1989-01-17,0.252681
1989-01-18,0.252681
1989-01-19,0.260583
1989-01-20,0.268415
1989-01-23,0.260583
1989-01-24,0.260583
1989-01-25,0.260583
1989-01-26,0.268415
1989-01-27,0.276486
1989-01-30,0.284298
1989-01-31,0.292219
1989-02-01,0.292219
1989-02-02,0.300021
1989-02-03,0.300021
1989-02-06,0.300021
1989-02-07,0.307853
1989-02-08,0.307853
1989-02-09,0.315904
1989-02-10,0.307853
1989-02-13,0.300021
1989-02-14,0.300021
1989-02-15,0.307853
1989-02-16,0.307853
1989-02-17,0.307853
1989-02-21,0.300021
