Date,HD.US
1989-03-07,0.869111
1989-03-08,0.869111
1989-03-09,0.877061
1989-03-10,0.877061
1989-03-13,0.892364
1989-03-14,0.853708
1989-03-15,0.853708
1989-03-16,0.899917
1989-03-17,0.877061
1989-03-20,0.869111
1989-03-21,0.869111
1989-03-22,0.846355
1989-03-23,0.846355
1989-03-27,0.869111
1989-03-28,0.884812
1989-03-29,0.899917
1989-03-30,0.899917
1989-03-31,0.907568
1989-04-03,0.930921
1989-04-04,0.92317
1989-04-05,0.92317
1989-04-06,0.907568
1989-04-07,0.915419
1989-04-10,0.92317
1989-04-11,0.930921
1989-04-12,0.946125
1989-04-13,0.930921
1989-04-14,0.953677
1989-04-17,0.946125
1989-04-18,0.961627
1989-04-19,0.992134
1989-04-20,0.977129
1989-04-21,0.999985
1989-04-24,0.992134
1989-04-25,0.992134
1989-04-26,0.992134
1989-04-27,1.00764
1989-04-28,1.00764
1989-05-01,1.01549
1989-05-02,1.02284
1989-05-03,1.01549
1989-05-04,0.999985
1989-05-05,1.00764
1989-05-08,0.999985
1989-05-09,0.96898
1989-05-10,0.977129
1989-05-11,0.977129
1989-05-12,0.999985
1989-05-15,0.992134
1989-05-16,0.984483
1989-05-17,1.01549
1989-05-18,1.04619
1989-05-19,1.04619
1989-05-22,1.04619
1989-05-23,1.03109
1989-05-24,1.03109
1989-05-25,1.02284
1989-05-26,1.03109
1989-05-30,1.00764
1989-05-31,1.03109
1989-06-01,1.0769
1989-06-02,1.09995
1989-06-05,1.08465
1989-06-06,1.0769
1989-06-07,1.06179
1989-06-08,1.0769
1989-06-09,1.08465
1989-06-12,1.05375
1989-06-13,1.04619
1989-06-14,1.03834
1989-06-15,1.03834
1989-06-16,1.03109
1989-06-19,1.02284
1989-06-20,1.01549
1989-06-21,0.999985
1989-06-22,0.999985
1989-06-23,1.04619
1989-06-26,1.03834
1989-06-27,1.02284
1989-06-28,1.01549
1989-06-29,0.984483
1989-06-30,0.977129
1989-07-03,1.00764
1989-07-05,1.03109
1989-07-06,1.03834
1989-07-07,1.05375
1989-07-10,1.06179
1989-07-11,1.03834
1989-07-12,1.03834
1989-07-13,1.03109
1989-07-14,1.03109
1989-07-17,1.06179
1989-07-18,1.06179
1989-07-19,1.0924
1989-07-20,1.06179
1989-07-21,1.08465
1989-07-24,1.0924
1989-07-25,1.0924
1989-07-26,1.08465
1989-07-27,1.11536
1989-07-28,1.13841
1989-07-31,1.17707
1989-08-01,1.18472
1989-08-02,1.19992
1989-08-03,1.18472
1989-08-04,1.18472
1989-08-07,1.19227
1989-08-08,1.19227
1989-08-09,1.18472
1989-08-10,1.19992
1989-08-11,1.18472
1989-08-14,1.19227
1989-08-15,1.20767
1989-08-16,1.22288
1989-08-17,1.24623
1989-08-18,1.27694
1989-08-21,1.24623
1989-08-22,1.29999
1989-08-23,1.29254
1989-08-24,1.30784
1989-08-25,1.29999
1989-08-28,1.29999
1989-08-29,1.29999
1989-08-30,1.29999
1989-08-31,1.3459
1989-09-01,1.3459
1989-09-05,1.3305
1989-09-06,1.29999
1989-09-07,1.28469
1989-09-08,1.29254
1989-09-11,1.28469
1989-09-12,1.28469
1989-09-13,1.26143
1989-09-14,1.23838
1989-09-15,1.27694
1989-09-18,1.29999
1989-09-19,1.31529
1989-09-20,1.32314
1989-09-21,1.30784
1989-09-22,1.30784
1989-09-25,1.29254
1989-09-26,1.28469
1989-09-27,1.29999
1989-09-28,1.30784
1989-09-29,1.31529
1989-10-02,1.3459
1989-10-03,1.36965
1989-10-04,1.42291
1989-10-05,1.41546
1989-10-06,1.41546
1989-10-09,1.40751
1989-10-10,1.39211
1989-10-11,1.36965
1989-10-12,1.35395
1989-10-13,1.26143
1989-10-16,1.3305
1989-10-17,1.31529
1989-10-18,1.3305
1989-10-19,1.33884
1989-10-20,1.32314
1989-10-23,1.30784
1989-10-24,1.30784
1989-10-25,1.28469
1989-10-26,1.28469
1989-10-27,1.26143
1989-10-30,1.25378
1989-10-31,1.26909
1989-11-01,1.29999
1989-11-02,1.29999
1989-11-03,1.29999
1989-11-06,1.28469
1989-11-07,1.29254
1989-11-08,1.30784
1989-11-09,1.32314
1989-11-10,1.3305
1989-11-13,1.3305
1989-11-14,1.32314
1989-11-15,1.3459
1989-11-16,1.3459
1989-11-17,1.3459
1989-11-20,1.37671
1989-11-21,1.36965
1989-11-22,1.36965
1989-11-24,1.40751
1989-11-27,1.43842
1989-11-28,1.43057
1989-11-29,1.38475
1989-11-30,1.38475
1989-12-01,1.40751
1989-12-04,1.38475
1989-12-05,1.36965
1989-12-06,1.36965
1989-12-07,1.36965
1989-12-08,1.35395
1989-12-11,1.33884
1989-12-12,1.30784
1989-12-13,1.32314
1989-12-14,1.3305
1989-12-15,1.3459
1989-12-18,1.28469
1989-12-19,1.27694
1989-12-20,1.27694
1989-12-21,1.30784
1989-12-22,1.32314
1989-12-26,1.31529
1989-12-27,1.3305
1989-12-28,1.35395
1989-12-29,1.38475
1990-01-02,1.42291
1990-01-03,1.43057
1990-01-04,1.43842
1990-01-05,1.41546
1990-01-08,1.40751
1990-01-09,1.36965
1990-01-10,1.37671
1990-01-11,1.38475
1990-01-12,1.3305
1990-01-15,1.32314
1990-01-16,1.33884
1990-01-17,1.37671
1990-01-18,1.42291
1990-01-19,1.44617
1990-01-22,1.41546
1990-01-23,1.43842
1990-01-24,1.43842
1990-01-25,1.39211
1990-01-26,1.38475
1990-01-29,1.35395
1990-01-30,1.32314
1990-01-31,1.32314
1990-02-01,1.3305
1990-02-02,1.36965
1990-02-05,1.39211
1990-02-06,1.39211
1990-02-07,1.43057
1990-02-08,1.40026
1990-02-09,1.41546
1990-02-12,1.39211
1990-02-13,1.39211
1990-02-14,1.39211
1990-02-15,1.39211
1990-02-16,1.36965
1990-02-20,1.3459
1990-02-21,1.39211
1990-02-22,1.42291
1990-02-23,1.38475
1990-02-26,1.43057
1990-02-27,1.47677
1990-02-28,1.50003
1990-03-01,1.50003
1990-03-02,1.50003
1990-03-05,1.51533
1990-03-06,1.56939
1990-03-07,1.65386
1990-03-08,1.65386
1990-03-09,1.63835
1990-03-12,1.6461
1990-03-13,1.62315
