Date,^DJI
1989-04-04,2298.2
1989-04-05,2304.8
1989-04-06,2292.0
1989-04-07,2304.8
1989-04-10,2301.9
1989-04-11,2311.6
1989-04-12,2319.7
1989-04-13,2296.0
1989-04-14,2337.1
1989-04-17,2337.8
1989-04-18,2379.4
1989-04-19,2386.9
1989-04-20,2377.4
1989-04-21,2409.5
1989-04-24,2402.7
1989-04-25,2386.9
1989-04-26,2389.1
1989-04-27,2419.0
1989-04-28,2418.8
1989-05-01,2415.0
1989-05-02,2402.9
1989-05-03,2393.7
1989-05-04,2384.9
1989-05-05,2382.0
1989-05-08,2376.5
1989-05-09,2371.3
1989-05-10,2374.5
1989-05-11,2382.9
1989-05-12,2439.7
1989-05-15,2463.9
1989-05-16,2453.5
1989-05-17,2462.4
1989-05-18,2470.1
1989-05-19,2501.1
1989-05-22,2502.0
1989-05-23,2478.0
1989-05-24,2483.9
1989-05-25,2482.6
1989-05-26,2493.8
1989-05-30,2475.6
1989-05-31,2480.2
1989-06-01,2490.6
1989-06-02,2517.8
1989-06-05,2480.7
1989-06-06,2496.3
1989-06-07,2512.3
1989-06-08,2516.9
1989-06-09,2513.4
1989-06-12,2518.8
1989-06-13,2503.5
1989-06-14,2503.4
1989-06-15,2475.0
1989-06-16,2486.4
1989-06-19,2479.9
1989-06-20,2472.9
1989-06-21,2464.9
1989-06-22,2482.0
1989-06-23,2531.9
1989-06-26,2511.4
1989-06-27,2526.4
1989-06-28,2504.7
1989-06-29,2458.3
1989-06-30,2440.1
1989-07-03,2452.8
1989-07-05,2456.6
1989-07-06,2462.4
1989-07-07,2487.9
1989-07-10,2502.7
1989-07-11,2514.6
1989-07-12,2532.6
1989-07-13,2538.3
1989-07-14,2554.8
1989-07-17,2553.5
1989-07-18,2544.8
1989-07-19,2584.4
1989-07-20,2575.5
1989-07-21,2607.4
1989-07-24,2585.0
1989-07-25,2583.1
1989-07-26,2613.1
1989-07-27,2635.4
1989-07-28,2635.2
1989-07-31,2660.7
1989-08-01,2641.1
1989-08-02,2657.4
1989-08-03,2661.6
1989-08-04,2653.5
1989-08-07,2695.0
1989-08-08,2699.2
1989-08-09,2686.1
1989-08-10,2712.6
1989-08-11,2684.0
1989-08-14,2677.9
1989-08-15,2687.8
1989-08-16,2693.3
1989-08-17,2679.6
1989-08-18,2688.0
1989-08-21,2647.0
1989-08-22,2651.0
1989-08-23,2678.1
1989-08-24,2734.6
1989-08-25,2732.4
1989-08-28,2743.4
1989-08-29,2726.6
1989-08-30,2728.2
1989-08-31,2737.3
1989-09-01,2752.1
1989-09-05,2744.7
1989-09-06,2719.8
1989-09-07,2706.9
1989-09-08,2709.5
1989-09-11,2704.4
1989-09-12,2707.3
1989-09-13,2679.5
1989-09-14,2664.9
1989-09-15,2674.6
1989-09-18,2687.5
1989-09-19,2687.3
1989-09-20,2683.9
1989-09-21,2680.3
1989-09-22,2681.6
1989-09-25,2659.2
1989-09-26,2663.9
1989-09-27,2673.1
1989-09-28,2694.9
1989-09-29,2692.8
1989-10-02,2713.7
1989-10-03,2754.6
1989-10-04,2771.1
1989-10-05,2773.6
1989-10-06,2785.5
1989-10-09,2791.4
1989-10-10,2785.3
1989-10-11,2773.4
1989-10-12,2759.8
1989-10-13,2569.3
1989-10-16,2657.4
1989-10-17,2638.7
1989-10-18,2643.7
1989-10-19,2683.2
1989-10-20,2689.1
1989-10-23,2662.9
1989-10-24,2659.2
1989-10-25,2653.3
1989-10-26,2613.7
1989-10-27,2596.7
1989-10-30,2603.5
1989-10-31,2645.1
1989-11-01,2645.9
1989-11-02,2631.6
1989-11-03,2629.5
1989-11-06,2582.2
1989-11-07,2597.1
1989-11-08,2623.4
1989-11-09,2603.7
1989-11-10,2625.6
1989-11-13,2626.4
1989-11-14,2610.3
1989-11-15,2632.6
1989-11-16,2635.7
1989-11-17,2652.7
1989-11-20,2632.0
1989-11-21,2639.3
1989-11-22,2656.8
1989-11-24,2675.6
1989-11-27,2695.0
1989-11-28,2702.0
1989-11-29,2688.8
1989-11-30,2706.3
1989-12-01,2747.7
1989-12-04,2753.6
1989-12-05,2741.7
1989-12-06,2736.8
1989-12-07,2720.8
1989-12-08,2731.4
1989-12-11,2728.2
1989-12-12,2752.1
1989-12-13,2761.1
1989-12-14,2753.6
1989-12-15,2739.6
1989-12-18,2697.5
1989-12-19,2695.6
1989-12-20,2687.9
1989-12-21,2691.1
1989-12-22,2711.4
1989-12-26,2709.3
1989-12-27,2724.4
1989-12-28,2732.3
1989-12-29,2753.2
1990-01-02,2810.2
1990-01-03,2809.7
1990-01-04,2796.1
1990-01-05,2773.3
1990-01-08,2794.4
1990-01-09,2766.0
1990-01-10,2750.6
1990-01-11,2760.7
1990-01-12,2689.2
1990-01-15,2669.4
1990-01-16,2692.6
1990-01-17,2659.1
1990-01-18,2666.4
1990-01-19,2677.9
1990-01-22,2600.5
1990-01-23,2615.3
1990-01-24,2604.5
1990-01-25,2561.0
1990-01-26,2559.2
1990-01-29,2553.4
1990-01-30,2543.2
1990-01-31,2590.5
1990-02-01,2586.3
1990-02-02,2602.7
1990-02-05,2622.5
1990-02-06,2606.3
1990-02-07,2640.1
1990-02-08,2644.4
1990-02-09,2648.2
1990-02-12,2619.1
1990-02-13,2624.1
1990-02-14,2624.3
1990-02-15,2649.6
1990-02-16,2635.6
1990-02-20,2596.9
1990-02-21,2583.6
1990-02-22,2574.8
1990-02-23,2564.2
1990-02-26,2602.5
1990-02-27,2617.1
1990-02-28,2627.3
1990-03-01,2635.6
1990-03-02,2660.4
1990-03-05,2649.6
1990-03-06,2676.8
1990-03-07,2669.6
1990-03-08,2696.2
1990-03-09,2683.3
1990-03-12,2686.7
1990-03-13,2674.6
1990-03-14,2687.8
1990-03-15,2695.7
1990-03-16,2741.2
1990-03-19,2755.6
1990-03-20,2738.7
1990-03-21,2727.9
1990-03-22,2695.7
1990-03-23,2704.3
1990-03-26,2707.7
1990-03-27,2736.9
1990-03-28,2743.7
1990-03-29,2727.7
1990-03-30,2707.2
1990-04-02,2700.5
1990-04-03,2736.7
1990-04-04,2719.4
1990-04-05,2721.2
1990-04-06,2717.1
1990-04-09,2722.1
1990-04-10,2731.1
1990-04-11,2729.7
1990-04-12,2751.8
1990-04-16,2763.1
1990-04-17,2765.8
1990-04-18,2732.9
1990-04-19,2711.9
1990-04-20,2696.0
1990-04-23,2666.7
1990-04-24,2654.5
1990-04-25,2666.4
1990-04-26,2676.6
1990-04-27,2645.1
1990-04-30,2656.8
1990-05-01,2668.9
1990-05-02,2689.6
1990-05-03,2696.2
1990-05-04,2710.4
1990-05-07,2721.6
