Date,MCD.US
1989-12-26,5.96135
1989-12-27,6.00407
1989-12-28,6.09754
1989-12-29,6.16203
1990-01-02,6.22711
1990-01-03,6.16203
1990-01-04,6.0472
1990-01-05,5.93939
1990-01-08,6.0472
1990-01-09,6.00407
1990-01-10,5.89636
1990-01-11,5.84582
1990-01-12,5.73811
1990-01-15,5.67334
1990-01-16,5.73811
1990-01-17,5.73811
1990-01-18,5.75957
1990-01-19,5.69519
1990-01-22,5.53684
1990-01-23,5.62289
1990-01-24,5.53684
1990-01-25,5.51498
1990-01-26,5.57987
1990-01-29,5.57987
1990-01-30,5.57987
1990-01-31,5.82456
1990-02-01,5.91803
1990-02-02,5.93939
1990-02-05,5.98251
1990-02-06,5.91803
1990-02-07,6.0472
1990-02-08,5.91803
1990-02-09,5.89636
1990-02-12,5.8029
1990-02-13,5.82456
1990-02-14,5.75957
1990-02-15,5.86719
1990-02-16,5.78123
1990-02-20,5.69519
1990-02-21,5.57987
1990-02-22,5.57987
1990-02-23,5.49342
1990-02-26,5.62289
1990-02-27,5.64474
1990-02-28,5.62289
1990-03-01,5.62289
1990-03-02,5.67334
1990-03-05,5.71646
1990-03-06,5.71646
1990-03-07,5.5583
1990-03-08,5.71646
1990-03-09,5.73811
1990-03-12,5.71646
1990-03-13,5.64474
1990-03-14,5.67334
1990-03-15,5.64474
1990-03-16,5.69519
1990-03-19,5.84582
1990-03-20,5.78123
1990-03-21,5.69519
1990-03-22,5.62289
1990-03-23,5.60143
1990-03-26,5.60143
1990-03-27,5.69519
1990-03-28,5.69519
1990-03-29,5.64474
1990-03-30,5.67334
1990-04-02,5.64474
1990-04-03,5.71646
1990-04-04,5.62289
1990-04-05,5.62289
1990-04-06,5.57987
1990-04-09,5.69519
1990-04-10,5.75957
1990-04-11,5.73811
1990-04-12,5.82456
1990-04-16,5.86719
1990-04-17,5.89636
1990-04-18,5.78123
1990-04-19,5.69519
1990-04-20,5.62289
1990-04-23,5.5583
1990-04-24,5.51498
1990-04-25,5.51498
1990-04-26,5.47196
1990-04-27,5.42161
1990-04-30,5.40005
1990-05-01,5.47196
1990-05-02,5.5583
1990-05-03,5.57987
1990-05-04,5.69519
1990-05-07,5.67334
1990-05-08,5.60143
