Date,CVX.US
1989-03-06,4.87341
1989-03-07,4.91149
1989-03-08,4.84792
1989-03-09,4.86736
1989-03-10,4.86736
1989-03-13,4.95603
1989-03-14,4.98132
1989-03-15,5.10838
1989-03-16,5.1658
1989-03-17,5.12107
1989-03-20,5.01316
1989-03-21,4.96862
1989-03-22,4.8988
1989-03-23,4.86736
1989-03-27,4.8988
1989-03-28,4.87341
1989-03-29,4.88591
1989-03-30,4.86736
1989-03-31,4.95603
1989-04-03,4.94958
1989-04-04,4.95603
1989-04-05,5.06404
1989-04-06,5.0325
1989-04-07,4.99402
1989-04-10,4.98132
1989-04-11,5.00711
1989-04-12,4.98132
1989-04-13,4.93074
1989-04-14,4.94958
1989-04-17,4.98132
1989-04-18,5.10838
1989-04-19,5.20379
1989-04-20,5.22918
1989-04-21,5.34354
1989-04-24,5.22918
1989-04-25,5.07674
1989-04-26,5.03875
1989-04-27,5.10213
1989-04-28,5.10213
1989-05-01,5.03875
1989-05-02,5.02595
1989-05-03,5.00711
1989-05-04,5.00711
1989-05-05,5.00056
1989-05-08,4.98787
1989-05-09,4.96862
1989-05-10,4.92439
1989-05-11,4.92439
1989-05-12,5.00056
1989-05-15,5.02595
1989-05-16,5.07029
1989-05-17,5.05144
1989-05-18,5.05144
1989-05-19,5.1783
1989-05-22,5.20379
1989-05-23,5.23583
1989-05-24,5.3243
1989-05-25,5.33094
1989-05-26,5.33094
1989-05-30,5.24822
1989-05-31,5.26112
1989-06-01,5.24822
1989-06-02,5.28651
1989-06-05,5.1783
1989-06-06,5.24822
1989-06-07,5.22273
1989-06-08,5.08318
1989-06-09,5.05144
1989-06-12,5.09588
1989-06-13,5.09588
1989-06-14,5.09588
1989-06-15,5.00056
1989-06-16,5.00711
1989-06-19,4.97497
1989-06-20,4.94958
1989-06-21,4.91774
1989-06-22,4.92439
1989-06-23,5.02595
1989-06-26,5.0325
1989-06-27,5.27372
1989-06-28,5.24822
1989-06-29,5.1783
1989-06-30,5.14666
1989-07-03,5.20379
1989-07-05,5.22273
1989-07-06,5.22273
1989-07-07,5.27372
1989-07-10,5.3118
1989-07-11,5.35634
1989-07-12,5.34354
1989-07-13,5.3243
1989-07-14,5.38192
1989-07-17,5.34354
1989-07-18,5.3243
1989-07-19,5.36923
1989-07-20,5.3243
1989-07-21,5.33094
1989-07-24,5.28651
1989-07-25,5.20379
1989-07-26,5.23583
1989-07-27,5.19109
1989-07-28,5.1658
1989-07-31,5.19109
1989-08-01,5.20994
1989-08-02,5.26112
1989-08-03,5.26757
1989-08-04,5.26757
1989-08-07,5.36923
1989-08-08,5.37548
1989-08-09,5.28006
1989-08-10,5.29266
1989-08-11,5.26757
1989-08-14,5.28006
1989-08-15,5.30535
1989-08-16,5.30535
1989-08-17,5.28006
1989-08-18,5.30535
1989-08-21,5.22918
1989-08-22,5.22273
1989-08-23,5.26112
1989-08-24,5.36923
1989-08-25,5.36923
1989-08-28,5.46435
1989-08-29,5.36923
1989-08-30,5.37548
1989-08-31,5.42626
1989-09-01,5.49609
