Date,PG.US
1989-01-13,3.84951
1989-01-16,3.84951
1989-01-17,3.86322
1989-01-18,3.87087
1989-01-19,3.87087
1989-01-20,3.87087
1989-01-23,3.84951
1989-01-24,3.87087
1989-01-25,3.87733
1989-01-26,3.94847
1989-01-27,4.04762
1989-01-30,4.01941
1989-01-31,4.06213
1989-02-01,4.04762
1989-02-02,4.03361
1989-02-03,3.99814
1989-02-06,3.98404
1989-02-07,3.96973
1989-02-08,3.96973
1989-02-09,3.96277
1989-02-10,3.9273
1989-02-13,3.94161
1989-02-14,3.95552
1989-02-15,3.99814
1989-02-16,4.01941
1989-02-17,4.05498
1989-02-21,4.06213
1989-02-22,4.0051
1989-02-23,3.96973
1989-02-24,3.90624
1989-02-27,3.90624
1989-02-28,3.90624
1989-03-01,3.84951
1989-03-02,3.87733
1989-03-03,3.89164
1989-03-06,3.913
1989-03-07,3.89899
1989-03-08,3.913
1989-03-09,3.92035
1989-03-10,3.87733
1989-03-13,3.92035
1989-03-14,3.96973
1989-03-15,3.99814
1989-03-16,4.01941
1989-03-17,3.99814
1989-03-20,3.94847
1989-03-21,3.98404
1989-03-22,4.01941
1989-03-23,4.01941
1989-03-27,4.01941
1989-03-28,4.06908
1989-03-29,4.05498
1989-03-30,4.06213
1989-03-31,4.07624
1989-04-03,4.08319
1989-04-04,4.04762
1989-04-05,4.05498
1989-04-06,4.02676
1989-04-07,4.04077
1989-04-10,4.06213
1989-04-11,4.04762
1989-04-12,4.06908
1989-04-13,4.03361
1989-04-14,4.0978
1989-04-17,4.06908
1989-04-18,4.13992
1989-04-19,4.14728
1989-04-20,4.11151
1989-04-21,4.17549
1989-04-24,4.13992
1989-04-25,4.18255
1989-04-26,4.16864
1989-04-27,4.1896
1989-04-28,4.21802
1989-05-01,4.30306
1989-05-02,4.26044
1989-05-03,4.26789
1989-05-04,4.26044
1989-05-05,4.26789
1989-05-08,4.26789
1989-05-09,4.26789
1989-05-10,4.25388
1989-05-11,4.25388
1989-05-12,4.33128
1989-05-15,4.36695
1989-05-16,4.3597
1989-05-17,4.38831
1989-05-18,4.38831
1989-05-19,4.50148
1989-05-22,4.57262
1989-05-23,4.50148
1989-05-24,4.53695
1989-05-25,4.51568
1989-05-26,4.52284
1989-05-30,4.48707
1989-05-31,4.52989
1989-06-01,4.55135
1989-06-02,4.66472
1989-06-05,4.60093
1989-06-06,4.58662
1989-06-07,4.61494
1989-06-08,4.58662
1989-06-09,4.62199
1989-06-12,4.87704
1989-06-13,4.79199
1989-06-14,4.86293
1989-06-15,4.82746
1989-06-16,4.87704
1989-06-19,4.83442
1989-06-20,4.85598
1989-06-21,4.86293
1989-06-22,4.86293
1989-06-23,5.04753
1989-06-26,4.99795
1989-06-27,4.98335
1989-06-28,4.94112
1989-06-29,4.84207
1989-06-30,4.77818
1989-07-03,4.78514
1989-07-05,4.78514
1989-07-06,4.79199
1989-07-07,4.89125
1989-07-10,4.95513
1989-07-11,4.94828
1989-07-12,5.06144
1989-07-13,5.0828
1989-07-14,5.13238
1989-07-17,5.07565
1989-07-18,5.02637
1989-07-19,5.1609
1989-07-20,5.12533
1989-07-21,5.18196
1989-07-24,5.18196
1989-07-25,5.1751
1989-07-26,5.2529
1989-07-27,5.29552
1989-07-28,5.29552
1989-07-31,5.26005
1989-08-01,5.28827
1989-08-02,5.28141
1989-08-03,5.26005
1989-08-04,5.11092
1989-08-07,5.1751
1989-08-08,5.18196
1989-08-09,5.20998
1989-08-10,5.45111
1989-08-11,5.50814
1989-08-14,5.60064
1989-08-15,5.5294
1989-08-16,5.47983
1989-08-17,5.42985
1989-08-18,5.40889
1989-08-21,5.42985
1989-08-22,5.45846
1989-08-23,5.57928
1989-08-24,5.77739
1989-08-25,5.80591
1989-08-28,5.79876
1989-08-29,5.67814
1989-08-30,5.65002
1989-08-31,5.66403
1989-09-01,5.65717
1989-09-05,5.62886
1989-09-06,5.55086
1989-09-07,5.50119
1989-09-08,5.47277
1989-09-11,5.45846
1989-09-12,5.42985
1989-09-13,5.35206
1989-09-14,5.26721
1989-09-15,5.24594
1989-09-18,5.35951
1989-09-19,5.40889
1989-09-20,5.42985
1989-09-21,5.37362
1989-09-22,5.28141
1989-09-25,5.23193
1989-09-26,5.21793
1989-09-27,5.15354
1989-09-28,5.32394
1989-09-29,5.28827
1989-10-02,5.35951
1989-10-03,5.49403
1989-10-04,5.54351
1989-10-05,5.58623
1989-10-06,5.68529
1989-10-09,5.80591
1989-10-10,5.77064
1989-10-11,5.7919
1989-10-12,5.70655
1989-10-13,5.32394
1989-10-16,5.45111
1989-10-17,5.60064
1989-10-18,5.6073
1989-10-19,5.64307
1989-10-20,5.72782
1989-10-23,5.75643
1989-10-24,5.8838
1989-10-25,5.72782
1989-10-26,5.58623
1989-10-27,5.5294
1989-10-30,5.62886
1989-10-31,5.69264
1989-11-01,5.62151
1989-11-02,5.57928
1989-11-03,5.55086
1989-11-06,5.5294
1989-11-07,5.57928
1989-11-08,5.69264
1989-11-09,5.57928
1989-11-10,5.61465
1989-11-13,5.63571
1989-11-14,5.6073
1989-11-15,5.70655
1989-11-16,5.6993
1989-11-17,5.70655
1989-11-20,5.70655
1989-11-21,5.72782
1989-11-22,5.80591
1989-11-24,5.84148
1989-11-27,5.77739
1989-11-28,5.6993
1989-11-29,5.6993
1989-11-30,5.70655
1989-12-01,5.80591
1989-12-04,5.86244
1989-12-05,5.77739
1989-12-06,5.72056
1989-12-07,5.6993
1989-12-08,5.74222
1989-12-11,5.74898
1989-12-12,6.01863
1989-12-13,6.03979
1989-12-14,6.02568
1989-12-15,6.00412
1989-12-18,5.89801
1989-12-19,5.94769
1989-12-20,5.9619
1989-12-21,5.92633
1989-12-22,6.01863
1989-12-26,5.98306
1989-12-27,5.99756
1989-12-28,6.11768
1989-12-29,6.19608
1990-01-02,6.21724
1990-01-03,6.20303
1990-01-04,6.08251
1990-01-05,5.976
1990-01-08,6.08251
1990-01-09,6.08251
1990-01-10,6.11768
1990-01-11,6.20303
1990-01-12,5.976
1990-01-15,5.99756
1990-01-16,6.07526
1990-01-17,6.03979
1990-01-18,6.12484
1990-01-19,6.08251
1990-01-22,5.94044
1990-01-23,5.82697
1990-01-24,5.84148
1990-01-25,5.5294
1990-01-26,5.56497
1990-01-29,5.52225
1990-01-30,5.5294
1990-01-31,5.64307
1990-02-01,5.6993
1990-02-02,5.74222
1990-02-05,5.78455
1990-02-06,5.74222
1990-02-07,5.80591
1990-02-08,5.77739
1990-02-09,5.84148
1990-02-12,5.74222
1990-02-13,5.74222
1990-02-14,5.78455
1990-02-15,5.87695
1990-02-16,5.89801
1990-02-20,5.74898
1990-02-21,5.6993
1990-02-22,5.56497
1990-02-23,5.50814
1990-02-26,5.56497
1990-02-27,5.56497
1990-02-28,5.62886
1990-03-01,5.58623
1990-03-02,5.58623
1990-03-05,5.58623
1990-03-06,5.58623
1990-03-07,5.58623
1990-03-08,5.72782
1990-03-09,5.72056
1990-03-12,5.65002
1990-03-13,5.65002
1990-03-14,5.74222
1990-03-15,5.6993
1990-03-16,5.84148
