Date,CAT.US
1990-03-05,4.59738
1990-03-06,4.61972
1990-03-07,4.59738
1990-03-08,4.59738
1990-03-09,4.56808
1990-03-12,4.5088
1990-03-13,4.43531
1990-03-14,4.43531
1990-03-15,4.4652
1990-03-16,4.47235
1990-03-19,4.53104
1990-03-20,4.50194
1990-03-21,4.48715
1990-03-22,4.4652
1990-03-23,4.53859
1990-03-26,4.56044
1990-03-27,4.53859
1990-03-28,4.5088
1990-03-29,4.5088
1990-03-30,4.50194
1990-04-02,4.42806
1990-04-03,4.48715
1990-04-04,4.4652
1990-04-05,4.50194
1990-04-06,4.45011
1990-04-09,4.43531
1990-04-10,4.43531
1990-04-11,4.43531
1990-04-12,4.42806
1990-04-16,4.43531
1990-04-17,4.45011
1990-04-18,4.39827
1990-04-19,4.43531
1990-04-20,4.4795
1990-04-23,4.48715
1990-04-24,4.53104
1990-04-25,4.61228
1990-04-26,4.62668
1990-04-27,4.57513
1990-04-30,4.54574
1990-05-01,4.53104
1990-05-02,4.63422
1990-05-03,4.64902
1990-05-04,4.65657
1990-05-07,4.767
