Date,INTC.US
1988-01-06,0.629742
1988-01-07,0.629742
1988-01-08,0.572619
1988-01-11,0.587073
1988-01-12,0.572619
1988-01-13,0.544701
1988-01-14,0.558759
1988-01-15,0.587073
1988-01-18,0.558759
1988-01-19,0.544701
1988-01-20,0.495003
1988-01-21,0.530544
1988-01-22,0.537771
1988-01-25,0.551829
1988-01-26,0.530544
1988-01-27,0.530544
1988-01-28,0.544701
1988-01-29,0.558759
1988-02-01,0.544701
1988-02-02,0.537771
1988-02-03,0.516288
1988-02-04,0.523317
1988-02-05,0.523317
1988-02-08,0.530544
1988-02-09,0.544701
1988-02-10,0.572619
1988-02-11,0.565986
1988-02-12,0.558759
1988-02-16,0.58044
1988-02-17,0.565986
1988-02-18,0.572619
1988-02-19,0.58044
1988-02-22,0.615486
1988-02-23,0.622515
1988-02-24,0.629742
1988-02-25,0.615486
1988-02-26,0.615486
1988-02-29,0.622515
1988-03-01,0.622515
1988-03-02,0.636772
1988-03-03,0.657661
1988-03-04,0.665185
1988-03-07,0.686074
1988-03-08,0.679441
1988-03-09,0.693301
1988-03-10,0.671917
1988-03-11,0.671917
1988-03-14,0.707557
1988-03-15,0.693301
1988-03-16,0.679441
1988-03-17,0.693301
1988-03-18,0.70033
1988-03-21,0.679441
1988-03-22,0.693301
1988-03-23,0.671917
1988-03-24,0.629742
1988-03-25,0.622515
1988-03-28,0.650929
1988-03-29,0.650929
1988-03-30,0.636772
1988-03-31,0.643702
1988-04-04,0.650929
1988-04-05,0.665185
1988-04-06,0.70033
1988-04-07,0.70033
1988-04-08,0.707557
1988-04-11,0.728545
1988-04-12,0.728545
1988-04-13,0.714586
1988-04-14,0.686074
1988-04-15,0.671917
1988-04-18,0.671917
1988-04-19,0.679441
1988-04-20,0.686074
1988-04-21,0.665185
1988-04-22,0.679441
1988-04-25,0.679441
1988-04-26,0.707557
1988-04-27,0.707557
1988-04-28,0.70033
1988-04-29,0.679441
1988-05-02,0.70033
1988-05-03,0.707557
1988-05-04,0.707557
1988-05-05,0.707557
1988-05-06,0.707557
1988-05-09,0.70033
1988-05-10,0.686074
1988-05-11,0.671917
1988-05-12,0.686074
1988-05-13,0.70033
1988-05-16,0.707557
1988-05-17,0.693301
1988-05-18,0.671917
1988-05-19,0.657661
1988-05-20,0.657661
1988-05-23,0.643702
1988-05-24,0.650929
1988-05-25,0.643702
1988-05-26,0.650929
1988-05-27,0.657661
1988-05-31,0.679441
1988-06-01,0.686074
1988-06-02,0.679441
1988-06-03,0.707557
1988-06-06,0.735871
1988-06-07,0.728545
1988-06-08,0.74983
1988-06-09,0.742801
1988-06-10,0.74983
1988-06-13,0.75676
1988-06-14,0.770917
1988-06-15,0.770917
1988-06-16,0.778144
1988-06-17,0.770917
1988-06-20,0.764383
1988-06-21,0.792301
1988-06-22,0.806359
1988-06-23,0.806359
1988-06-24,0.792301
1988-06-27,0.778144
1988-06-28,0.79933
1988-06-29,0.79933
1988-06-30,0.792301
1988-07-01,0.79933
1988-07-05,0.792301
1988-07-06,0.770917
1988-07-07,0.770917
1988-07-08,0.770917
1988-07-11,0.764383
1988-07-12,0.785371
1988-07-13,0.79933
1988-07-14,0.785371
1988-07-15,0.792301
1988-07-18,0.778144
1988-07-19,0.770917
1988-07-20,0.742801
1988-07-21,0.728545
1988-07-22,0.75676
1988-07-25,0.75676
1988-07-26,0.75676
1988-07-27,0.742801
1988-07-28,0.74983
1988-07-29,0.764383
1988-08-01,0.770917
1988-08-02,0.764383
1988-08-03,0.764383
1988-08-04,0.75676
1988-08-05,0.75676
1988-08-08,0.735871
1988-08-09,0.714586
1988-08-10,0.686074
1988-08-11,0.707557
1988-08-12,0.70033
1988-08-15,0.665185
1988-08-16,0.693301
1988-08-17,0.686074
1988-08-18,0.679441
1988-08-19,0.665185
1988-08-22,0.650929
1988-08-23,0.650929
1988-08-24,0.657661
1988-08-25,0.636772
1988-08-26,0.615486
1988-08-29,0.643702
1988-08-30,0.629742
1988-08-31,0.615486
1988-09-01,0.587073
1988-09-02,0.608457
1988-09-06,0.622515
1988-09-07,0.594597
1988-09-08,0.58044
1988-09-09,0.615486
1988-09-12,0.615486
1988-09-13,0.615486
1988-09-14,0.629742
1988-09-15,0.615486
1988-09-16,0.629742
1988-09-19,0.636772
1988-09-20,0.629742
1988-09-21,0.629742
1988-09-22,0.615486
1988-09-23,0.629742
1988-09-26,0.608457
1988-09-27,0.601131
1988-09-28,0.601131
1988-09-29,0.608457
1988-09-30,0.608457
1988-10-03,0.58044
1988-10-04,0.558759
1988-10-05,0.551829
1988-10-06,0.587073
1988-10-07,0.544701
1988-10-10,0.544701
1988-10-11,0.558759
1988-10-12,0.544701
1988-10-13,0.558759
1988-10-14,0.565986
1988-10-17,0.565986
1988-10-18,0.587073
1988-10-19,0.58044
1988-10-20,0.608457
1988-10-21,0.608457
1988-10-24,0.594597
1988-10-25,0.587073
1988-10-26,0.572619
1988-10-27,0.551829
1988-10-28,0.544701
1988-10-31,0.544701
1988-11-01,0.544701
1988-11-02,0.544701
1988-11-03,0.551829
1988-11-04,0.544701
1988-11-07,0.537771
1988-11-08,0.544701
1988-11-09,0.558759
1988-11-10,0.544701
1988-11-11,0.530544
1988-11-14,0.523317
1988-11-15,0.480935
1988-11-16,0.502428
1988-11-17,0.509259
1988-11-18,0.509259
1988-11-21,0.431583
1988-11-22,0.445582
1988-11-23,0.459848
1988-11-25,0.445582
1988-11-28,0.445582
1988-11-29,0.445582
1988-11-30,0.438711
1988-12-01,0.459848
1988-12-02,0.466877
1988-12-05,0.474015
1988-12-06,0.480935
1988-12-07,0.466877
1988-12-08,0.474015
1988-12-09,0.480935
1988-12-12,0.474015
1988-12-13,0.466877
1988-12-14,0.466877
1988-12-15,0.495003
1988-12-16,0.502428
1988-12-19,0.509259
1988-12-20,0.509259
1988-12-21,0.502428
1988-12-22,0.48838
1988-12-23,0.502428
1988-12-27,0.509259
1988-12-28,0.502428
1988-12-29,0.523317
1988-12-30,0.523317
1989-01-03,0.523317
1989-01-04,0.537771
1989-01-05,0.537771
1989-01-06,0.530544
1989-01-09,0.523317
1989-01-10,0.523317
1989-01-11,0.530544
1989-01-12,0.537771
1989-01-13,0.530544
1989-01-16,0.530544
1989-01-17,0.509259
1989-01-18,0.530544
1989-01-19,0.530544
1989-01-20,0.530544
1989-01-23,0.516288
1989-01-24,0.509259
1989-01-25,0.544701
1989-01-26,0.565986
1989-01-27,0.558759
1989-01-30,0.565986
1989-01-31,0.572619
1989-02-01,0.587073
1989-02-02,0.587073
1989-02-03,0.601131
1989-02-06,0.594597
1989-02-07,0.608457
1989-02-08,0.58044
1989-02-09,0.572619
1989-02-10,0.544701
1989-02-13,0.558759
1989-02-14,0.58044
1989-02-15,0.58044
1989-02-16,0.58044
1989-02-17,0.587073
1989-02-21,0.572619
1989-02-22,0.558759
1989-02-23,0.565986
1989-02-24,0.551829
1989-02-27,0.558759
1989-02-28,0.565986
1989-03-01,0.572619
1989-03-02,0.58044
1989-03-03,0.58044
1989-03-06,0.594597
1989-03-07,0.594597
1989-03-08,0.58044
1989-03-09,0.594597
1989-03-10,0.58044
1989-03-13,0.587073
1989-03-14,0.565986
1989-03-15,0.551829
1989-03-16,0.565986
1989-03-17,0.537771
1989-03-20,0.523317
1989-03-21,0.530544
1989-03-22,0.516288
1989-03-23,0.530544
1989-03-27,0.530544
1989-03-28,0.537771
1989-03-29,0.537771
1989-03-30,0.558759
1989-03-31,0.58044
1989-04-03,0.572619
1989-04-04,0.558759
1989-04-05,0.558759
1989-04-06,0.558759
1989-04-07,0.58044
1989-04-10,0.587073
1989-04-11,0.608457
1989-04-12,0.636772
1989-04-13,0.629742
1989-04-14,0.650929
1989-04-17,0.643702
1989-04-18,0.643702
1989-04-19,0.650929
1989-04-20,0.636772
1989-04-21,0.636772
1989-04-24,0.629742
1989-04-25,0.629742
1989-04-26,0.622515
1989-04-27,0.636772
1989-04-28,0.636772
1989-05-01,0.636772
1989-05-02,0.643702
1989-05-03,0.650929
1989-05-04,0.650929
1989-05-05,0.643702
1989-05-08,0.643702
1989-05-09,0.643702
1989-05-10,0.643702
1989-05-11,0.657661
1989-05-12,0.671917
1989-05-15,0.679441
1989-05-16,0.679441
1989-05-17,0.693301
1989-05-18,0.707557
1989-05-19,0.721318
1989-05-22,0.707557
1989-05-23,0.686074
1989-05-24,0.70033
1989-05-25,0.70033
1989-05-26,0.707557
1989-05-30,0.714586
1989-05-31,0.714586
1989-06-01,0.728545
1989-06-02,0.728545
1989-06-05,0.679441
1989-06-06,0.70033
1989-06-07,0.707557
1989-06-08,0.693301
1989-06-09,0.686074
1989-06-12,0.707557
1989-06-13,0.679441
1989-06-14,0.665185
1989-06-15,0.657661
1989-06-16,0.665185
1989-06-19,0.665185
1989-06-20,0.643702
1989-06-21,0.657661
1989-06-22,0.671917
1989-06-23,0.679441
1989-06-26,0.686074
1989-06-27,0.693301
1989-06-28,0.679441
1989-06-29,0.636772
1989-06-30,0.636772
1989-07-03,0.629742
1989-07-05,0.622515
1989-07-06,0.622515
1989-07-07,0.636772
1989-07-10,0.657661
1989-07-11,0.657661
1989-07-12,0.657661
1989-07-13,0.650929
1989-07-14,0.657661
1989-07-17,0.693301
1989-07-18,0.636772
1989-07-19,0.629742
1989-07-20,0.629742
1989-07-21,0.650929
1989-07-24,0.629742
1989-07-25,0.622515
1989-07-26,0.629742
1989-07-27,0.650929
1989-07-28,0.657661
1989-07-31,0.671917
1989-08-01,0.643702
1989-08-02,0.657661
1989-08-03,0.679441
1989-08-04,0.70033
1989-08-07,0.721318
1989-08-08,0.728545
1989-08-09,0.693301
1989-08-10,0.686074
1989-08-11,0.679441
1989-08-14,0.665185
1989-08-15,0.665185
1989-08-16,0.636772
1989-08-17,0.650929
1989-08-18,0.650929
1989-08-21,0.629742
1989-08-22,0.643702
1989-08-23,0.665185
1989-08-24,0.671917
1989-08-25,0.679441
1989-08-28,0.671917
1989-08-29,0.657661
1989-08-30,0.665185
1989-08-31,0.657661
1989-09-01,0.665185
1989-09-05,0.671917
1989-09-06,0.657661
1989-09-07,0.657661
1989-09-08,0.657661
1989-09-11,0.657661
1989-09-12,0.679441
1989-09-13,0.686074
1989-09-14,0.679441
1989-09-15,0.686074
1989-09-18,0.671917
1989-09-19,0.679441
1989-09-20,0.686074
1989-09-21,0.70033
1989-09-22,0.70033
1989-09-25,0.70033
1989-09-26,0.707557
1989-09-27,0.693301
1989-09-28,0.707557
1989-09-29,0.707557
1989-10-02,0.714586
1989-10-03,0.70033
1989-10-04,0.714586
1989-10-05,0.728545
1989-10-06,0.735871
1989-10-09,0.764383
1989-10-10,0.74983
1989-10-11,0.742801
1989-10-12,0.742801
1989-10-13,0.70033
1989-10-16,0.728545
1989-10-17,0.735871
1989-10-18,0.742801
1989-10-19,0.764383
1989-10-20,0.764383
1989-10-23,0.735871
1989-10-24,0.728545
1989-10-25,0.721318
1989-10-26,0.707557
1989-10-27,0.70033
1989-10-30,0.714586
1989-10-31,0.742801
1989-11-01,0.728545
1989-11-02,0.693301
1989-11-03,0.671917
1989-11-06,0.657661
1989-11-07,0.693301
1989-11-08,0.70033
1989-11-09,0.707557
1989-11-10,0.721318
1989-11-13,0.728545
1989-11-14,0.728545
1989-11-15,0.742801
1989-11-16,0.735871
1989-11-17,0.74983
1989-11-20,0.735871
1989-11-21,0.735871
1989-11-22,0.75676
1989-11-24,0.764383
1989-11-27,0.764383
1989-11-28,0.75676
1989-11-29,0.764383
1989-11-30,0.764383
1989-12-01,0.778144
1989-12-04,0.785371
1989-12-05,0.778144
1989-12-06,0.764383
1989-12-07,0.764383
1989-12-08,0.735871
1989-12-11,0.714586
1989-12-12,0.707557
1989-12-13,0.707557
1989-12-14,0.693301
1989-12-15,0.679441
1989-12-18,0.665185
1989-12-19,0.679441
1989-12-20,0.693301
1989-12-21,0.735871
1989-12-22,0.728545
1989-12-26,0.721318
1989-12-27,0.74983
1989-12-28,0.74983
1989-12-29,0.75676
1990-01-02,0.792301
1990-01-03,0.770917
1990-01-04,0.785371
1990-01-05,0.778144
1990-01-08,0.792301
1990-01-09,0.813388
1990-01-10,0.792301
1990-01-11,0.792301
1990-01-12,0.778144
1990-01-15,0.778144
1990-01-16,0.827942
1990-01-17,0.827942
1990-01-18,0.820517
1990-01-19,0.834971
1990-01-22,0.806359
1990-01-23,0.806359
1990-01-24,0.834971
1990-01-25,0.842099
1990-01-26,0.855959
1990-01-29,0.842099
1990-01-30,0.834971
1990-01-31,0.870215
1990-02-01,0.855959
1990-02-02,0.870215
1990-02-05,0.884075
1990-02-06,0.884075
1990-02-07,0.884075
1990-02-08,0.891401
1990-02-09,0.884075
1990-02-12,0.863087
1990-02-13,0.877541
1990-02-14,0.884075
1990-02-15,0.884075
1990-02-16,0.884075
1990-02-20,0.855959
1990-02-21,0.855959
1990-02-22,0.855959
1990-02-23,0.84893
1990-02-26,0.870215
1990-02-27,0.870215
1990-02-28,0.884075
1990-03-01,0.891401
1990-03-02,0.89843
1990-03-05,0.877541
1990-03-06,0.891401
1990-03-07,0.884075
1990-03-08,0.884075
1990-03-09,0.891401
1990-03-12,0.884075
1990-03-13,0.877541
1990-03-14,0.877541
1990-03-15,0.884075
1990-03-16,0.926645
1990-03-19,0.955256
1990-03-20,0.948029
1990-03-21,0.93407
1990-03-22,0.926645
1990-03-23,0.93407
1990-03-26,0.940604
1990-03-27,0.948029
1990-03-28,0.93407
1990-03-29,0.92021
1990-03-30,0.92021
1990-04-02,0.92021
1990-04-03,0.926645
1990-04-04,0.93407
1990-04-05,0.926645
1990-04-06,0.91229
1990-04-09,0.91229
1990-04-10,0.926645
1990-04-11,0.940604
1990-04-12,0.93407
1990-04-16,0.93407
1990-04-17,0.93407
1990-04-18,0.905459
1990-04-19,0.884075
1990-04-20,0.884075
1990-04-23,0.870215
1990-04-24,0.855959
1990-04-25,0.877541
1990-04-26,0.884075
1990-04-27,0.870215
1990-04-30,0.870215
1990-05-01,0.870215
1990-05-02,0.884075
1990-05-03,0.905459
1990-05-04,0.926645
