Date,KO.US
1987-10-30,1.80635
1987-11-02,1.80972
1987-11-03,1.77805
1987-11-04,1.75006
1987-11-05,1.80635
1987-11-06,1.73963
1987-11-09,1.68364
1987-11-10,1.64521
1987-11-11,1.67321
1987-11-12,1.72236
1987-11-13,1.69098
1987-11-16,1.68046
1987-11-17,1.66984
1987-11-18,1.71183
1987-11-19,1.67321
1987-11-20,1.73963
1987-11-23,1.70796
1987-11-24,1.70796
1987-11-25,1.69436
1987-11-27,1.67321
1987-11-30,1.61731
1987-12-01,1.61731
1987-12-02,1.63092
1987-12-03,1.58614
1987-12-04,1.58614
1987-12-07,1.65187
1987-12-08,1.70796
1987-12-09,1.72236
1987-12-10,1.66269
1987-12-11,1.70151
1987-12-14,1.7573
1987-12-15,1.77805
1987-12-16,1.75006
1987-12-17,1.69436
1987-12-18,1.73963
1987-12-21,1.73963
1987-12-22,1.73268
1987-12-23,1.73963
1987-12-24,1.72236
1987-12-28,1.69098
1987-12-29,1.64144
1987-12-30,1.69098
1987-12-31,1.66984
1988-01-04,1.74668
1988-01-05,1.72921
1988-01-06,1.72921
1988-01-07,1.75006
1988-01-08,1.59647
1988-01-11,1.68046
1988-01-12,1.66984
1988-01-13,1.64521
1988-01-14,1.64521
1988-01-15,1.71868
1988-01-18,1.70796
1988-01-19,1.65931
1988-01-20,1.61731
1988-01-21,1.60699
1988-01-22,1.62426
1988-01-25,1.65187
1988-01-26,1.61731
1988-01-27,1.58614
1988-01-28,1.61731
1988-01-29,1.64521
1988-02-01,1.58614
1988-02-02,1.61731
1988-02-03,1.5923
1988-02-04,1.5923
1988-02-05,1.55427
1988-02-08,1.55755
1988-02-09,1.58187
1988-02-10,1.5923
1988-02-11,1.60699
1988-02-12,1.60272
1988-02-16,1.59647
1988-02-17,1.63479
1988-02-18,1.62426
1988-02-19,1.66269
1988-02-22,1.68364
1988-02-23,1.69098
1988-02-24,1.66269
1988-02-25,1.64144
1988-02-26,1.61364
1988-02-29,1.63479
1988-03-01,1.66269
1988-03-02,1.68046
1988-03-03,1.67321
1988-03-04,1.66269
1988-03-07,1.65187
1988-03-08,1.68364
1988-03-09,1.68364
1988-03-10,1.67321
1988-03-11,1.66984
1988-03-14,1.70151
1988-03-15,1.68364
1988-03-16,1.71183
1988-03-17,1.75006
1988-03-18,1.73963
1988-03-21,1.72236
1988-03-22,1.73268
1988-03-23,1.73963
1988-03-24,1.70796
1988-03-25,1.68046
1988-03-28,1.66984
1988-03-29,1.70151
1988-03-30,1.68364
1988-03-31,1.67321
1988-04-04,1.66269
1988-04-05,1.66984
1988-04-06,1.70796
1988-04-07,1.67321
1988-04-08,1.68364
1988-04-11,1.71868
1988-04-12,1.74668
1988-04-13,1.75006
1988-04-14,1.65187
1988-04-15,1.66984
1988-04-18,1.64521
1988-04-19,1.63092
1988-04-20,1.61731
1988-04-21,1.63479
1988-04-22,1.65931
1988-04-25,1.70151
1988-04-26,1.68364
1988-04-27,1.67321
1988-04-28,1.68046
1988-04-29,1.67321
1988-05-02,1.68364
1988-05-03,1.70151
1988-05-04,1.67321
1988-05-05,1.65187
1988-05-06,1.61364
1988-05-09,1.60699
1988-05-10,1.61731
1988-05-11,1.60272
1988-05-12,1.60699
1988-05-13,1.62426
1988-05-16,1.63092
1988-05-17,1.59647
1988-05-18,1.55427
1988-05-19,1.5647
1988-05-20,1.57145
1988-05-23,1.54385
1988-05-24,1.55755
1988-05-25,1.57145
1988-05-26,1.58614
1988-05-27,1.57145
1988-05-31,1.66269
1988-06-01,1.68364
1988-06-02,1.67321
1988-06-03,1.68046
1988-06-06,1.67321
1988-06-07,1.66984
1988-06-08,1.71868
1988-06-09,1.68364
1988-06-10,1.68046
1988-06-13,1.68364
1988-06-14,1.70796
1988-06-15,1.69436
1988-06-16,1.65931
1988-06-17,1.67321
1988-06-20,1.64521
1988-06-21,1.67321
1988-06-22,1.69436
1988-06-23,1.68046
1988-06-24,1.68046
1988-06-27,1.63092
1988-06-28,1.66984
1988-06-29,1.68364
1988-06-30,1.70796
1988-07-01,1.69098
1988-07-05,1.69436
1988-07-06,1.65931
1988-07-07,1.64144
1988-07-08,1.61364
1988-07-11,1.64144
1988-07-12,1.61364
1988-07-13,1.61731
1988-07-14,1.63479
1988-07-15,1.67321
1988-07-18,1.64144
1988-07-19,1.63479
1988-07-20,1.64144
1988-07-21,1.61731
1988-07-22,1.61364
1988-07-25,1.62426
1988-07-26,1.64521
1988-07-27,1.62426
1988-07-28,1.65187
1988-07-29,1.68046
1988-08-01,1.66269
1988-08-02,1.66269
1988-08-03,1.70151
1988-08-04,1.69098
1988-08-05,1.67321
1988-08-08,1.67321
1988-08-09,1.65187
1988-08-10,1.63479
1988-08-11,1.63479
1988-08-12,1.64144
1988-08-15,1.62426
1988-08-16,1.66269
1988-08-17,1.68364
1988-08-18,1.69436
1988-08-19,1.69436
1988-08-22,1.68364
1988-08-23,1.71183
1988-08-24,1.71868
1988-08-25,1.71183
1988-08-26,1.73963
1988-08-29,1.76058
1988-08-30,1.76058
1988-08-31,1.75006
1988-09-01,1.72921
1988-09-02,1.79235
1988-09-06,1.80972
1988-09-07,1.82055
1988-09-08,1.83733
1988-09-09,1.83435
1988-09-12,1.83733
1988-09-13,1.84497
1988-09-14,1.84497
1988-09-15,1.84497
1988-09-16,1.86949
1988-09-19,1.84825
1988-09-20,1.85549
1988-09-21,1.88359
1988-09-22,1.85897
1988-09-23,1.90424
1988-09-26,1.88677
1988-09-27,1.88359
1988-09-28,1.89392
1988-09-29,1.93214
1988-09-30,1.91477
1988-10-03,1.88677
1988-10-04,1.86949
1988-10-05,1.86949
1988-10-06,1.85549
1988-10-07,1.91477
1988-10-10,1.89392
1988-10-11,1.89392
1988-10-12,1.85897
1988-10-13,1.85897
1988-10-14,1.85549
1988-10-17,1.84825
1988-10-18,1.86949
1988-10-19,1.85549
1988-10-20,1.92539
